bench,node,strategy,throughput
kmeans,8,mcs_spin,0.0317762948840165
streamcluster,2,cbomcs_stp,0.389105058365759
ferret,2,c-ptl-tkt,0.011154489682097
volrend,4,posix_adaptive,0.0878734622144112
barnes,6,c-ptl-tkt,0.0697350069735007
swaptions,4,c-ptl-tkt,0.0438788942518649
dedup,8,ttas,0.0369139904023625
word_count,1,posix_adaptive,0.0656598818122127
ferret,4,mcs_stp,0.0295072292711714
s_raytrace,2,cbomcs_stp,0.0321750321750322
vips,2,spinlock,0.0547945205479452
swaptions,8,c-ptl-tkt,0.0867302688638335
radiosity,6,ticket,0.0197472353870458
barnes,4,malthusian_stp,0.0549752611324904
bodytrack,1,ttas,0.017415534656914
volrend,4,partitioned,0.100806451612903
kmeans,1,partitioned,0.00785916378497328
volrend,6,posix,0.0808407437348424
dedup,6,clh_stp,0.004293688278231
s_raytrace_ll,4,ticket,140912
fmm,2,backoff,0.0334336342360415
pca_ll,1,partitioned,167060
lu_ncb,8,malthusian_spin,0.0632911392405063
fmm,8,ttas,0.0554938956714761
s_raytrace,1,mcs_spin,0.0171379605826907
x264,1,mcs_spin,0.0326157860404436
freqmine,6,partitioned,0.0171438367906738
radiosity_ll,1,cbomcs_spin,70737
mysqld,2,malthusian_stp,1452
fluidanimate,4,malthusian_stp,0.0098833761612967
pca,4,malthusian_spin,0.0469924812030075
s_raytrace_ll,6,posix_adaptive,76629
radiosity_ll,1,ticket,72107
swaptions,2,posix,0.0220994475138122
histogram,1,clh_stp,0.255102040816327
ssl_proxy,6,clh_stp,2912
radix,4,clh_stp,0.206611570247934
pca,4,backoff,0.0549752611324904
pca_ll,2,ticket,273054
p_raytrace,6,mcs-timepub,0.00654065014062398
radix,8,c-tkt-tkt,0.31055900621118
ssl_proxy,6,spinlock,3324
water_nsquared,2,malthusian_stp,0.00976848686138517
s_raytrace_ll,2,posix,131989
bodytrack,8,spinlock,0.0385653682992673
matrix_multiply,6,c-ptl-tkt,0.0755287009063444
ocean_ncp,2,mcs_spin,0.0762195121951219
x264,4,posix_adaptive,0.0594530321046373
canneal,1,ttas,0.0074471254095919
pca_ll,6,mcs-timepub,447925
pca_ll,2,mcs_stp,83450
fft,8,clh_stp,0.0723589001447178
canneal,4,clh_stp,0.011037527593819
p_raytrace,6,ticket,0.00646663217796172
fft,8,posix,0.0723065798987708
fmm,6,backoff,0.0515729757607014
x264,1,malthusian_stp,0.0326583932070542
x264,2,clh_stp,0.0334224598930481
pca_ll,8,posix_adaptive,232475
linear_regression,6,c-tkt-tkt,1.26582278481013
radix,8,posix,0.316455696202532
lu_ncb,1,posix,0.0128749839062701
kmeans,6,ticket,0.0262260687123
blackscholes,6,malthusian_stp,0.0243131534159981
ferret,1,mcs_stp,0.00778634275480807
s_raytrace_ll,6,spinlock,29328
linear_regression,8,ticket,1.01010101010101
water_spatial,1,ticket,0.0199362041467305
s_raytrace_ll,6,posix_adaptive,82755
ssl_proxy,1,ticket,36709
string_match,8,posix_adaptive,0.0630119722747322
matrix_multiply,6,malthusian_spin,0.0766871165644172
ocean_ncp,4,clh_stp,0.127551020408163
s_raytrace_ll,4,clh_stp,20143
pca,4,partitioned,0.0459347726228755
pca_ll,4,mcs_stp,80286
radiosity_ll,8,clh_stp,11388
ocean_cp,2,clh_stp,0.0914913083257091
ferret,8,ticket,0.0108613011838818
bodytrack,1,clh_stp,0.0173792144595064
