bench,node,strategy,throughput
string_match,4,mcs-timepub,0.116414435389988
volrend,2,malthusian_stp,0.145137880986938
water_nsquared,2,posix_adaptive,0.0374531835205993
vips,2,mcs-timepub,0.163398692810458
pca_ll,1,posix_adaptive,594652
water_spatial,4,posix_adaptive,0.120772946859903
water_nsquared,2,c-ptl-tkt,0.0374812593703148
pca_ll,2,ticket,456053
swaptions,3,ticket,0.100200400801603
dedup,4,clh_stp,0.00853533629224991
histogram,2,mcs-timepub,0.740740740740741
radiosity,2,ttas,0.0582072176949942
pca,4,c-ptl-tkt,0.0816993464052288
matrix_multiply,4,clh_spin,0.115473441108545
linear_regression,1,malthusian_stp,1.08695652173913
string_match,4,posix_adaptive,0.119047619047619
ferret,1,posix_adaptive,0.0268817204301075
lu_cb,3,c-tkt-tkt,0.0850340136054422
pca,1,backoff,0.0803858520900322
string_match,3,cbomcs_stp,0.0946073793755913
ferret,4,partitioned,0.0114639458901754
blackscholes,2,cbomcs_stp,0.0313479623824451
barnes,4,malthusian_stp,0.143061516452074
s_raytrace_ll,1,mcs_spin,152422
radiosity,3,posix,0.0588928150765607
string_match,4,malthusian_spin,0.111731843575419
matrix_multiply,2,malthusian_spin,0.0602772754671489
volrend,2,posix,0.144300144300144
s_raytrace_ll,4,ticket,103033
radiosity_ll,1,backoff,227623
lu_ncb,4,c-tkt-tkt,0.109170305676856
matrix_multiply,1,mcs-timepub,0.0318572793883402
s_raytrace_ll,2,spinlock,54989
radiosity_ll,2,clh_spin,254738
lu_ncb,1,ticket,0.0353356890459364
lu_ncb,3,mcs-timepub,0.065402223675605
s_raytrace_ll,1,mcs_stp,152172
radiosity_ll,2,ticket,114466
p_raytrace,4,posix,0.0136892539356605
blackscholes,2,malthusian_stp,0.0314267756128221
x264,1,clh_stp,0.0868055555555556
blackscholes,3,clh_spin,0.0340367597004765
linear_regression,3,malthusian_spin,2.32558139534884
volrend,4,cbomcs_spin,0.154559505409583
pca_ll,4,spinlock,127409
linear_regression,3,ticket,2.27272727272727
linear_regression,1,mcs-timepub,1.06382978723404
pca,3,posix,0.0599880023995201
swaptions,1,cbomcs_stp,0.0365497076023392
p_raytrace,1,c-tkt-tkt,0.0137061403508772
s_raytrace,3,posix,0.0925925925925926
water_nsquared,2,partitioned,0.0375516334960571
histogram,4,mcs_spin,0.574712643678161
volrend,4,ttas,0.132802124833997
string_match,1,c-ptl-tkt,0.0355492356914326
s_raytrace_ll,1,mcs_spin,151461
histogram,2,clh_stp,0.632911392405063
matrix_multiply,3,clh_stp,0.0884173297966401
water_nsquared,4,mcs-timepub,0.0569476082004556
lu_ncb,4,posix_adaptive,0.0865800865800866
streamcluster_ll,2,cbomcs_stp,20087
x264,4,c-ptl-tkt,0.137931034482759
canneal,2,malthusian_spin,0.0127713920817369
lu_ncb,3,posix_adaptive,0.0660938532716457
x264,2,backoff,0.133511348464619
string_match,3,ttas,0.0950570342205323
lu_cb,2,spinlock,0.0701754385964912
pca,4,posix,0.0600240096038415
s_raytrace_ll,4,posix,178146
s_raytrace_ll,3,posix,223229
string_match,3,c-tkt-tkt,0.0956022944550669
canneal,4,mcs_stp,0.0137969094922737
blackscholes,3,posix_adaptive,0.0340251786321878
dedup,2,malthusian_stp,0.0279955207166853
linear_regression,3,backoff,2.56410256410256
fmm,4,ticket,0.06426735218509
pca,4,ttas,0.0571102227298686
bodytrack,4,cbomcs_spin,0.0593471810089021
linear_regression,1,mcs-timepub,1.0752688172043
lu_ncb,4,mcs-timepub,0.0985221674876847
s_raytrace_ll,4,partitioned,198964
bodytrack,2,c-ptl-tkt,0.0504795557799091
streamcluster_ll,1,ticket,10336
blackscholes,2,spinlock,0.0314366551398931
water_nsquared,1,partitioned,0.0192975685063682
kmeans,2,malthusian_stp,0.0351246926589392
fmm,4,ticket,0.0692520775623269
p_raytrace,4,partitioned,0.0136761487964989
kmeans,1,clh_spin,0.0245821042281219
blackscholes,4,malthusian_stp,0.0354484225451967
barnes,2,cbomcs_spin,0.0900900900900901
blackscholes,2,posix,0.0313676286072773
s_raytrace,3,ttas,0.06265664160401
freqmine,3,partitioned,0.0304971027752364
x264,3,mcs_stp,0.139470013947001
water_nsquared,2,cbomcs_stp,0.0372995151063036
canneal,4,backoff,0.0138083402375035
kmeans,2,clh_stp,0.0377786173026067
dedup,1,clh_spin,0.0178954903364352
dedup,2,clh_spin,0.0117357117709189
fmm,2,spinlock,0.0607533414337789
water_nsquared,1,clh_stp,0.0185942729639271
x264,4,spinlock,0.137174211248285
streamcluster,2,ttas,0.31055900621118
histogram,1,mcs_spin,0.99009900990099
x264,4,backoff,0.13986013986014
linear_regression,3,spinlock,1.63934426229508
barnes,2,backoff,0.0904977375565611
p_raytrace,4,malthusian_spin,0.0134716421931833
string_match,3,c-ptl-tkt,0.0957854406130268
histogram,2,posix_adaptive,0.793650793650794
s_raytrace,1,malthusian_stp,0.0537345513164965
linear_regression,4,cbomcs_stp,0.943396226415094
vips,4,partitioned,0.170940170940171
dedup,4,mcs_spin,0.0209775540172016
p_raytrace,2,cbomcs_spin,0.013728720483251
ssl_proxy,1,clh_spin,61936
ssl_proxy,3,malthusian_spin,51727
lu_ncb,3,c-ptl-tkt,0.070871722182849
linear_regression,4,mcs_stp,1.23456790123457
kmeans,2,mcs-timepub,0.0358166189111748
histogram,1,cbomcs_stp,0.934579439252336
dedup,4,posix,0.0549148819330038
ferret,2,ttas,0.0529661016949153
histogram,4,clh_stp,0.526315789473684
ferret,4,clh_stp,0.0764525993883792
histogram,4,partitioned,0.571428571428571
lu_ncb,1,c-tkt-tkt,0.0418410041841004
fmm,2,partitioned,0.0590667454223272
volrend,2,clh_stp,0.14792899408284
ferret,2,clh_spin,0.0528820729772607
swaptions,2,posix,0.0668002672010688
s_raytrace,2,ticket,0.0713775874375446
freqmine,4,partitioned,0.0321957501609788
p_raytrace,2,mcs-timepub,0.0136128505309012
s_raytrace_ll,3,ticket,151253
pca,1,ticket,0.078125
radiosity,3,mcs-timepub,0.0641848523748395
bodytrack,3,partitioned,0.0572409845449342
swaptions,2,cbomcs_spin,0.0668449197860962
canneal,4,c-tkt-tkt,0.0138083402375035
matrix_multiply,4,posix,0.117647058823529
lu_ncb,1,spinlock,0.0371609067261241
swaptions,3,malthusian_stp,0.1
swaptions,3,c-ptl-tkt,0.0997008973080758
canneal,1,mcs_spin,0.0111209964412811
word_count,1,partitioned,0.136986301369863
water_spatial,1,ttas,0.050709939148073
streamcluster_ll,4,mcs-timepub,5171
pca_ll,3,clh_spin,740905
matrix_multiply,3,ticket,0.0881834215167548
blackscholes,2,ttas,0.0313185092389602
histogram,1,partitioned,0.909090909090909
ssl_proxy,2,mcs_spin,62980
s_raytrace,1,spinlock,0.0543183052688756
x264,1,malthusian_stp,0.0870322019147084
volrend,1,cbomcs_spin,0.10515247108307
water_spatial,1,backoff,0.0502765208647562
freqmine,4,spinlock,0.0322893122376493
ferret,3,partitioned,0.0135795763172189
volrend,1,backoff,0.102145045965271
s_raytrace,2,c-tkt-tkt,0.0997008973080758
radiosity_ll,2,ticket,107782
radiosity,3,backoff,0.0636942675159236
canneal,1,partitioned,0.0111321384838027
radiosity_ll,1,cbomcs_spin,234143
radiosity,1,cbomcs_spin,0.0648088139987038
kmeans,1,c-ptl-tkt,0.0237868696479543
bodytrack,3,partitioned,0.0568181818181818
p_raytrace,3,mcs_spin,0.0136761487964989
pca,4,c-tkt-tkt,0.0766871165644172
water_nsquared,2,ticket,0.0371195248700817
water_nsquared,4,posix_adaptive,0.0610873549175321
lu_cb,4,malthusian_spin,0.0916590284142988
histogram,4,mcs-timepub,0.571428571428571
dedup,1,malthusian_spin,0.0366166239472721
swaptions,4,posix,0.133155792276964
linear_regression,3,malthusian_stp,2.5
radiosity,3,posix,0.0593119810201661
lu_ncb,2,posix,0.0497512437810945
linear_regression,2,mcs_spin,1.88679245283019
swaptions,4,clh_stp,0.132978723404255
radiosity_ll,1,clh_spin,232912
ferret,1,partitioned,0.0270197243988111
lu_cb,1,cbomcs_stp,0.0462320850670365
radiosity,2,clh_spin,0.0643915003219575
freqmine,4,cbomcs_spin,0.032258064516129
p_raytrace,1,posix,0.0133832976445396
dedup,2,clh_spin,0.0117343346632246
linear_regression,2,cbomcs_stp,1.81818181818182
histogram,3,mcs_spin,0.558659217877095
streamcluster,3,malthusian_spin,0.120336943441637
pca_ll,2,mcs_stp,86466
p_raytrace,3,ticket,0.0136035913481159
p_raytrace,4,mcs_stp,0.0137023842148534
s_raytrace_ll,2,posix,232710
volrend,2,posix_adaptive,0.141242937853107
pca_ll,4,malthusian_spin,746461
pca,3,malthusian_stp,0.0800640512409928
string_match,3,spinlock,0.0942507068803016
volrend,3,mcs-timepub,0.165837479270315
pca_ll,2,mcs_spin,885044
barnes,1,backoff,0.051413881748072
kmeans,1,clh_spin,0.02460024600246
s_raytrace,3,clh_spin,0.131061598951507
histogram,1,spinlock,0.826446280991736
