bench,node,strategy,throughput
water_spatial,4,posix,0.0636942675159236
lu_cb,1,spinlock,0.0263713080168776
pca_ll,1,malthusian_stp,261531
s_raytrace,8,backoff,0.101729399796541
canneal,1,posix,0.00793587810491231
freqmine,2,mcs_stp,0.015845349389954
water_spatial,1,malthusian_spin,0.0251319426991706
canneal,8,malthusian_stp,0.0142267747901551
freqmine,2,backoff,0.0151768098345728
pca,4,clh_stp,0.0253292806484296
volrend,8,ticket,0.0833333333333333
freqmine,6,mcs_stp,0.0237755587256301
fmm,2,mcs_spin,0.0469924812030075
streamcluster_ll,1,malthusian_stp,6335
mysqld,1,malthusian_stp,1539
histogram,1,c-ptl-tkt,0.427350427350427
s_raytrace,1,mcs_stp,0.0236183278223902
pca_ll,2,ticket,304777
canneal,4,c-tkt-tkt,0.0119904076738609
freqmine,4,posix,0.0222518914107699
fmm,2,ttas,0.0377928949357521
canneal,8,c-ptl-tkt,0.014336917562724
freqmine,8,backoff,0.0272405339144647
x264,1,mcs-timepub,0.0479616306954436
ssl_proxy,4,spinlock,12509
s_raytrace_ll,6,posix_adaptive,143709
pca_ll,4,c-tkt-tkt,672664
water_spatial,1,ttas,0.0263991552270327
radiosity_ll,8,clh_stp,15915
linear_regression,4,cbomcs_spin,1.51515151515152
word_count,8,partitioned,0.0735835172921266
barnes,2,posix,0.0314267756128221
dedup,4,ttas,0.0714796283059328
s_raytrace_ll,8,clh_spin,277271
x264,4,posix_adaptive,0.110741971207087
radiosity_ll,4,malthusian_spin,185632
histogram,4,mcs-timepub,0.442477876106195
word_count,1,backoff,0.0941619585687382
string_match,2,c-tkt-tkt,0.0269687162891046
dedup,6,mcs_spin,0.0195579894386857
blackscholes,2,clh_stp,0.0227479526842584
bodytrack,6,malthusian_spin,0.0484730974309258
vips,2,cbomcs_stp,0.0734214390602056
lu_ncb,8,posix_adaptive,0.0596658711217184
ssl_proxy,4,posix,19859
x264,6,backoff,0.109289617486339
dedup,6,mcs_stp,0.0195694716242661
fmm,6,mcs_stp,0.0777000777000777
ssl_proxy,2,clh_stp,5470
p_raytrace,2,spinlock,0.0136686714051394
s_raytrace_ll,2,mcs_spin,132375
p_raytrace,2,c-ptl-tkt,0.0135851107186524
swaptions,6,backoff,0.0605693519079346
water_nsquared,4,mcs-timepub,0.025953802232027
lu_ncb,8,cbomcs_spin,0.0612369871402327
dedup,2,ticket,0.0772797527047913
pca_ll,4,c-tkt-tkt,662622
string_match,6,malthusian_stp,0.053850296176629
word_count,1,backoff,0.0946969696969697
volrend,4,malthusian_spin,0.116686114352392
blackscholes,4,c-tkt-tkt,0.0289939112786315
lu_ncb,1,mcs-timepub,0.0196116885663856
vips,4,spinlock,0.131578947368421
string_match,8,malthusian_spin,0.0620732464307883
pca,6,c-ptl-tkt,0.0655737704918033
pca,6,mcs_spin,0.0494559841740851
ferret,4,mcs-timepub,0.0411353352529823
string_match,1,mcs_stp,0.0143967751223726
lu_cb,1,posix,0.0265604249667995
lu_cb,1,ticket,0.0262743037309511
string_match,4,cbomcs_spin,0.0494559841740851
barnes,2,spinlock,0.0286368843069874
lu_cb,2,spinlock,0.0449034575662326
p_raytrace,4,spinlock,0.0136091453456723
water_spatial,6,ticket,0.0777604976671851
kmeans,1,posix,0.0113147770988912
bodytrack,8,mcs_spin,0.046339202965709
vips,1,cbomcs_stp,0.0377358490566038
word_count,6,clh_stp,0.10482180293501
water_nsquared,8,c-tkt-tkt,0.0375657400450789
pca_ll,4,clh_spin,383684
ssl_proxy,2,ttas,50772
matrix_multiply,8,spinlock,0.106269925611052
lu_ncb,8,backoff,0.0528262017960909
s_raytrace_ll,6,cbomcs_spin,259041
vips,6,ticket,0.157728706624606
p_raytrace,8,posix,0.0136612021857923
s_raytrace,8,mcs-timepub,0.109051254089422
radiosity_ll,4,cbomcs_stp,30717
blackscholes,4,ticket,0.0306372549019608
blackscholes,8,cbomcs_stp,0.0336247478143914
histogram,2,clh_spin,0.510204081632653
word_count,1,ttas,0.0921658986175115
swaptions,8,cbomcs_stp,0.0725163161711385
streamcluster,8,malthusian_stp,0.00820613819136714
radiosity_ll,8,posix,38571
lu_ncb,2,c-ptl-tkt,0.0255036980362153
pca,4,cbomcs_spin,0.0696378830083565
word_count,2,c-tkt-tkt,0.135135135135135
radiosity_ll,6,c-tkt-tkt,206766
histogram,8,malthusian_stp,0.425531914893617
kmeans,8,c-tkt-tkt,0.0410677618069815
linear_regression,6,clh_spin,1.58730158730159
volrend,4,backoff,0.121654501216545
volrend,2,c-tkt-tkt,0.0868809730668983
water_spatial,6,spinlock,0.0690131124913734
ssl_proxy,1,posix,36336
ssl_proxy,4,ttas,16680
word_count,2,spinlock,0.10515247108307
dedup,4,posix_adaptive,0.0718390804597701
radiosity_ll,6,clh_spin,244602
kmeans,4,clh_stp,0.03269042170644
water_nsquared,1,mcs_spin,0.00864902266043937
volrend,6,posix,0.100704934541793
volrend,6,mcs_stp,0.08424599831508
ssl_proxy,8,posix,10652
pca,2,backoff,0.0692520775623269
freqmine,4,mcs_stp,0.0217391304347826
matrix_multiply,6,posix_adaptive,0.103734439834025
lu_cb,2,mcs_spin,0.0447227191413238
histogram,4,clh_stp,0.564971751412429
canneal,8,spinlock,0.0141422712487626
canneal,4,clh_stp,0.0119047619047619
ssl_proxy,8,c-tkt-tkt,37996
matrix_multiply,4,cbomcs_stp,0.0874125874125874
bodytrack,6,mcs_spin,0.0461041954817888
canneal,1,clh_spin,0.00822165584148648
histogram,4,malthusian_spin,0.609756097560976
blackscholes,4,clh_stp,0.0288850375505488
ssl_proxy,2,spinlock,40483
vips,1,c-tkt-tkt,0.0382409177820268
mysqld,1,posix,1799
ssl_proxy,4,cbomcs_stp,10447
histogram,1,mcs-timepub,0.4149377593361
