bench,node,strategy,throughout,tpp
streamcluster,2,mcs_spin,0.699300699300699,0.00457650946977518
histogram,2,clh_stp,0.293255131964809,0.00306962703626319
histogram,1,partitioned,0.884955752212389,0.00734516901549747
streamcluster,2,ttas,0.900900900900901,0.0059398081463352
streamcluster_ll,2,mcs-timepub,31651,202.523274531903
pca,2,ttas-ls,0.125156445556946,0.00090810866243727
s_raytrace_ll,2,hticket-ls,327443,1894.45433428539
dedup,2,hmcs,0.0402738622633911,0.000404625116433962
lu_ncb,2,mcs_stp,0.0727802037845706,0.000403492532749908
histogram,2,spinlock-ls,0.458715596330275,0.00427768867566151
water_spatial,2,hticket-ls,0.0859106529209622,0.000625809811585782
water_nsquared,1,mutexee,0.0179597701149425,0.000148522544019148
streamcluster,1,partitioned,1.2987012987013,0.0108014741333426
linear_regression,2,mcs_stp,0.65359477124183,0.00624614359190796
histogram,2,clh_spin,0.571428571428571,0.00506996028051157
pca,1,spinlock,0.116550116550117,0.000925127804463418
fmm,2,c-tkt-tkt,0.0754716981132075,0.000592548164296868
barnes,1,hmcs,0.0543478260869565,0.000451679146314561
upscaledb,2,c-bo-mcs_stp,39281,476.683524346125
histogram,2,ahmcs,0.403225806451613,0.0039538778566471
radiosity_ll,2,mcs_stp,5221,65.9509379338767
histogram,2,clh-ls,0.529100529100529,0.00472325064576165
string_match,2,clh-ls,0.0627352572145546,0.000387185154525742
matrix_multiply,1,clh_stp,0.0337268128161889,0.000276789072602131
lu_ncb,1,hticket-ls,0.040551500405515,0.000292233391473361
histogram,2,mcs-timepub,0.389105058365759,0.00389851719976277
histogram,2,hticket-ls,0.37593984962406,0.00362710508791622
s_raytrace,2,c-bo-mcs_spin,0.113378684807256,0.00068114399771887
streamcluster_ll,2,alock-ls,46696,294.284266110241
radiosity_ll,2,mcs_stp,6137,75.4590079728707
kyotocabinet,2,clh_stp,19638,260.517571126152
streamcluster,2,mcs_spin,0.952380952380952,0.00626932138238511
water_spatial,1,spinlock-ls,0.0508646998982706,0.000445502661370083
streamcluster,1,c-bo-mcs_stp,1.13636363636364,0.00926626472699036
blackscholes,2,c-bo-mcs_spin,0.0339097999321804,0.000337408488841478
lu_cb,1,hmcs,0.0524383848977451,0.000435602701614228
memcached-old,1,c-bo-mcs_stp,105271,964.355754686313
volrend,1,mcs_stp,0.10515247108307,0.00100041760932475
histogram,2,clh_stp,0.401606425702811,0.00389369180965199
lu_ncb,2,c-ptl-tkt,0.0704721634954193,0.000421681151863324
histogram,2,hticket-ls,0.442477876106195,0.00418221025186286
kyotocabinet,1,c-bo-mcs_stp,49028,639.508603613372
pca,1,clh-ls,0.115074798619102,0.000910847519105621
histogram,1,c-bo-mcs_stp,0.99009900990099,0.0077473211816394
streamcluster,2,spinlock,0.62111801242236,0.00411518162930246
memcached-old,1,c-tkt-tkt,396860,2668.98395575192
radiosity_ll,2,clh_stp,4771,60.382757580175
linear_regression,2,mcs_spin,1.96078431372549,0.0120727044338045
matrix_multiply,2,mcs_stp,0.0634920634920635,0.00040050387616943
kyotocabinet,2,mcs_spin,591216,3845.24659343916
histogram,1,spinlock,0.99009900990099,0.00822502659438974
matrix_multiply,1,alock-ls,0.0339443312966735,0.000276772251579277
radiosity_ll,1,c-bo-mcs_spin,319724,2556.42694981446
histogram,2,c-tkt-tkt,0.588235294117647,0.00503417555795202
kyotocabinet,2,clh_stp,20528,273.220898124528
ferret,1,hmcs,0.0266311584553928,0.000190739824813047
s_raytrace,2,backoff,0.115074798619102,0.000693832689752748
vips,2,ticket-ls,0.125,0.00079147762536878
histogram,2,clh_stp,0.280898876404494,0.00298691428966708
ferret,2,hticket-ls,0.0107342206955775,7.09209910657105e-05
linear_regression,2,hmcs,2,0.0123484680891814
upscaledb,1,c-bo-mcs_stp,65610,797.647696701399
lu_ncb,1,c-bo-mcs_spin,0.0418410041841004,0.000296290983601433
histogram,1,ttas-ls,0.806451612903226,0.0070894964777999
streamcluster,2,mcs_stp,0.595238095238095,0.00392124905334186
histogram,2,c-ptl-tkt,0.546448087431694,0.00485397272062477
water_spatial,2,c-bo-mcs_spin,0.0851788756388416,0.000627026899330457
streamcluster,1,mutexee,1.05263157894737,0.00906420544725029
pca_ll,2,clh-ls,779241,3668.28428142344
vips,2,partitioned,0.129032258064516,0.000810619310762095
histogram,2,malth_spin,0.401606425702811,0.00374486250271086
dedup,2,ticket-ls,0.0729394602479942,0.00069022975155236
streamcluster_ll,2,mcs-ls,30256,199.981688614816
upscaledb,2,pthread,71569,947.336639064198
streamcluster,2,ttas,0.847457627118644,0.00561253311871605
pca_ll,2,mcs_stp,21803,271.352922384974
dedup,2,ticket,0.0843881856540084,0.000823997716616632
pca,1,clh_spin,0.115606936416185,0.000926775566305098
memcached-old,1,pthread,117289,1185.91609047866
rocksdb,2,mcs_spin,6490127,38058.0051993137
kmeans,2,c-bo-mcs_spin,0.0389559797428905,0.000246258447710431
histogram,2,alock-ls,0.393700787401575,0.00385578484035803
matrix_multiply,2,c-bo-mcs_stp,0.0668449197860962,0.000407615906687706
vips,2,ticket,0.133155792276964,0.000833219522490057
streamcluster_ll,1,pthread,26472,212.244205623745
pca,1,mutexee,0.118343195266272,0.000919535494805728
streamcluster,1,pthreadadapt,1.12359550561798,0.00908559558682095
barnes,1,clh_stp,0.0517063081695967,0.000433350946983689
histogram,1,c-bo-mcs_stp,0.970873786407767,0.00779916945240651
histogram,2,c-ptl-tkt,0.606060606060606,0.00526748760320496
dedup,2,spinlock-ls,0.0773993808049536,0.000755220355733377
memcached-new,1,ticket-ls,487080,3010.32571757638
rocksdb,1,clh-ls,3463883,25847.1983350798
fmm,1,pthreadadapt,0.0551267916207277,0.000484955304336853
histogram,2,malth_stp,0.423728813559322,0.00410251428331373
histogram,1,partitioned,1.01010101010101,0.0083232038555211
histogram,1,ticket,1.01010101010101,0.00825644259710761
canneal,2,ttas-ls,0.0181225081551287,0.000182412445847078
canneal,2,c-bo-mcs_spin,0.0182448458310527,0.000183889532232547
string_match,1,mcs_stp,0.0321543408360129,0.000260894180197623
histogram,1,ttas-ls,0.961538461538461,0.00820013451664664
vips,2,ticket,0.129198966408269,0.000814665794156342
canneal,1,c-ptl-tkt,0.0156298843388559,0.000161957835351671
word_count,2,spinlock-ls,0.137362637362637,0.00120036253349237
histogram,2,c-ptl-tkt,0.396825396825397,0.0038075980062305
s_raytrace_ll,2,ttas,330811,1915.06493570699
linear_regression,1,mutexee,1.35135135135135,0.0102377237330389
pca_ll,1,spinlock-ls,430199,2781.3170546989
histogram,2,partitioned,0.366300366300366,0.00368000860533212
s_raytrace,1,spinlock-ls,0.0623052959501558,0.000485434556048579
vips,2,c-bo-mcs_spin,0.0987166831194472,0.00063183647540263
volrend,1,spinlock-ls,0.103626943005181,0.00100040710266514
histogram,2,clh_spin,0.574712643678161,0.00497648932266845
streamcluster,1,mcs-timepub,1.21951219512195,0.0100962078754278
streamcluster,2,ticket-ls,0.628930817610063,0.00409680298072569
canneal,2,malth_stp,0.0182149362477231,0.000183406894286652
histogram,2,malth_stp,0.645161290322581,0.00560110853107249
histogram,2,ticket,0.529100529100529,0.00469179456084198
vips,1,alock-ls,0.0888888888888889,0.000702996309605407
histogram,2,ticket-ls,0.409836065573771,0.00394754112597689
freqmine,1,malth_stp,0.017061934823409,0.000143510761369205
histogram,2,clh_stp,0.411522633744856,0.00393611406619248
x264,2,c-tkt-tkt,0.144508670520231,0.000879540561081616
streamcluster_ll,2,c-ptl-tkt,41088,261.131012895409
ferret,2,spinlock,0.0377216144851,0.000233930963831348
vips,1,pthread,0.088809946714032,0.000705378555643479
blackscholes,2,c-ptl-tkt,0.0336021505376344,0.000331151151228201
p_raytrace,1,pthreadadapt,0.0170357751277683,0.000211492584355571
streamcluster,1,ttas-ls,1.26582278481013,0.0106030380333519
histogram,2,c-ptl-tkt,0.395256916996047,0.00395512726185571
radiosity_ll,2,mcs-timepub,443287,2596.50057603822
histogram,2,pthread,0.411522633744856,0.00389653144175123
dedup,2,c-ptl-tkt,0.0364431486880466,0.000287089104580337
histogram,2,spinlock,0.398406374501992,0.00383710321177587
