bench,node,strategy,throughput
rocksdb,1,ticket-ls,1493706
pca,2,mcs_spin,0.0529661016949153
facesim,1,pthread,0.0546448087431694
s_raytrace_ll,6,mcs-ls,417688
ferret,2,c-tkt-tkt,0.023623907394283
word_count,8,mcs-ls,0.075187969924812
linear_regression,8,partitioned,0.757575757575758
lu_ncb,6,ttas-ls,0.0430663221360896
upscaledb,2,pthreadadapt,116960
matrix_multiply,2,clh_stp,0.0272182906913446
blackscholes,8,mutexee,0.0252652854977261
ferret,6,mcs-timepub,0.0510464522715671
volrend,8,pthreadadapt,0.0301750150875075
water_nsquared,1,clh-ls,0.00657548658600736
volrend,8,partitioned,0.0556792873051225
s_raytrace_ll,2,spinlock,142473
barnes,8,malth_stp,0.0899280575539568
lu_cb,8,hticket-ls,0.0644329896907217
kyotocabinet,6,ttas-ls,94206
memcached-new,4,ttas,97819
water_nsquared,8,c-tkt-tkt,0.0346620450606586
pca,4,ticket,0.0408830744071954
linear_regression,8,ttas-ls,0.909090909090909
dedup,8,ticket,0.0369685767097967
streamcluster,6,ttas-ls,0.0581395348837209
matrix_multiply,8,alock-ls,0.0382701875239189
radiosity,8,ttas,0.0149432157800359
kmeans,4,ahmcs,0.0268096514745308
pca,8,spinlock-ls,0.0253549695740365
pca_ll,8,malth_spin,272696
streamcluster_ll,4,alock-ls,11333
radix,1,c-tkt-tkt,0.0786782061369001
ferret,1,partitioned,0.0122714443489999
s_raytrace_ll,6,c-bo-mcs_spin,290584
rocksdb,6,c-bo-mcs_stp,6432287
radix,4,mcs-ls,0.220264317180617
streamcluster,2,mcs-ls,0.4149377593361
rocksdb,1,mcs_spin,1463905
barnes,4,hticket-ls,0.0566251415628539
radiosity_ll,2,c-ptl-tkt,168096
pca,4,ahmcs,0.0510725229826353
linear_regression,1,clh-ls,0.862068965517241
ferret,6,spinlock-ls,0.049480455220188
memcached-old,1,hmcs,123830
dedup,8,spinlock,0.0344234079173838
fmm,2,malth_spin,0.0367511944138184
vips,4,mutexee,0.130890052356021
lu_cb,1,malth_stp,0.0260416666666667
memcached-new,1,c-bo-mcs_stp,163660
streamcluster,1,spinlock-ls,0.529100529100529
p_raytrace,2,hmcs,0.00685353985333425
fmm,2,c-ptl-tkt,0.043271311120727
volrend,2,c-ptl-tkt,0.0818330605564648
blackscholes,6,clh_stp,0.024740227610094
vips,8,pthread,0.122399020807834
ssl_proxy,8,mcs-ls,6506
streamcluster,6,spinlock-ls,0.033478406427854
memcached-old,4,hmcs,65771
upscaledb,6,pthread,65640
rocksdb,1,clh_spin,1467608
water_nsquared,1,clh-ls,0.00613308800981294
s_raytrace,6,pthread,0.0406669377795852
streamcluster,8,mcs_stp,0.00343961751453238
rocksdb,4,mcs-ls,4719303
pca_ll,2,ahmcs,274481
pca,4,mcs_stp,0.022583559168925
lu_ncb,1,pthreadadapt,0.0194893782888326
memcached-old,2,alock-ls,81751
pca,1,mcs_spin,0.0440528634361234
memcached-old,7,ttas-ls,20679
matrix_multiply,4,spinlock-ls,0.0151699029126214
facesim,4,ttas,0.0711743772241993
x264,8,spinlock,0.094876660341556
pca,6,malth_stp,0.0578034682080925
water_nsquared,6,c-bo-mcs_spin,0.030826140567201
sqlite,4,mutexee,4120
vips,2,pthread,0.0716332378223496
pca,1,spinlock,0.0452079566003617
kmeans,8,hmcs,0.0319795330988168
s_raytrace,2,c-bo-mcs_spin,0.0417362270450751
ferret,4,clh-ls,0.0346981263011797
histogram,1,backoff,0.421940928270042
canneal,4,spinlock-ls,0.0108554059921841
rocksdb,4,malth_spin,5418800
blackscholes,8,backoff,0.025419420437214
word_count,6,ttas-ls,0.0821692686935086
memcached-new,4,malth_stp,252362
streamcluster_ll,6,hmcs,5254
lu_cb,8,clh-ls,0.0638977635782748
streamcluster,8,mcs-ls,0.0111569786901707
radiosity,4,backoff,0.0239520958083832
word_count,4,ttas-ls,0.0924214417744917
kyotocabinet,4,c-ptl-tkt,309088
swaptions,1,hticket-ls,0.0134825401105568
sqlite,2,mutexee,6095
string_match,4,mcs-ls,0.0486381322957198
memcached-new,2,hmcs,331907
fft,1,c-bo-mcs_stp,0.0688231245698555
ssl_proxy,8,mcs-ls,25564
fmm,8,spinlock-ls,0.0539665407447383
histogram,2,mcs_stp,0.515463917525773
linear_regression,1,clh_spin,0.87719298245614
kmeans,4,c-bo-mcs_spin,0.022691173133651
ssl_proxy,6,clh-ls,34177
barnes,1,partitioned,0.0185873605947955
canneal,2,c-bo-mcs_stp,0.0100542931831892
blackscholes,6,mcs_spin,0.0245821042281219
canneal,2,ahmcs,0.00995222929936306
pca_ll,6,clh_spin,301527
mysqld,1,malth_stp,926
dedup,2,c-bo-mcs_stp,0.0228571428571429
radiosity_ll,2,malth_stp,133256
mysqld,8,mcs-timepub,866
streamcluster_ll,4,ahmcs,7862
streamcluster,6,ttas-ls,0.0470809792843691
dedup,6,c-bo-mcs_spin,0.0177462289263531
pca,1,mcs_stp,0.0432338953739732
lu_cb,6,malth_spin,0.05824111822947
streamcluster_ll,4,hmcs,12156
p_raytrace,4,mutexee,0.00672359308814631
streamcluster_ll,6,mcs-ls,2745
blackscholes,6,hticket-ls,0.0245037980887037
water_nsquared,2,c-bo-mcs_stp,0.0116699731590617
p_raytrace,1,pthread,0.00678748387972578
streamcluster,8,ticket-ls,0.0136035913481159
linear_regression,2,mutexee,1.2987012987013
pca_ll,1,clh_spin,150334
ssl_proxy,4,pthreadadapt,20412
p_raytrace,4,partitioned,0.00686153423905585
freqmine,6,backoff,0.0220118864186661
dedup,6,spinlock,0.034794711203897
pca,8,ahmcs,0.0381825124093165
blackscholes,2,clh_spin,0.0182049881667577
lu_cb,8,ttas-ls,0.0617283950617284
facesim,1,c-tkt-tkt,0.0554016620498615
matrix_multiply,4,spinlock,0.0526315789473684
string_match,2,ttas-ls,0.0288018433179724
pca,8,mcs_spin,0.0328839197632358
dedup,8,ticket,0.0342935528120713
canneal,8,clh-ls,0.0122940742562085
streamcluster_ll,8,malth_spin,1242
water_spatial,6,clh-ls,0.0497760079641613
pca,2,c-bo-mcs_stp,0.051948051948052
water_nsquared,6,hmcs,0.0284495021337127
radiosity,4,partitioned,0.024265954865324
volrend,6,clh_stp,0.0853242320819113
memcached-new,4,ticket-ls,249146
pca,6,ttas-ls,0.0289771080846132
kmeans,6,c-bo-mcs_spin,0.0274499039253363
facesim,1,ticket-ls,0.0547345374931582
word_count,4,ticket,0.0911577028258888
swaptions,8,alock-ls,0.0857632933104631
pca,6,malth_spin,0.0530785562632696
pca_ll,4,ticket-ls,389927
streamcluster_ll,8,backoff,1068
string_match,4,clh_stp,0.0497760079641613
streamcluster,2,ttas-ls,0.429184549356223
memcached-new,4,mutexee,88857
streamcluster_ll,4,c-bo-mcs_spin,20580
s_raytrace_ll,8,mcs_stp,43498
pca,4,ahmcs,0.0497760079641613
sqlite,2,malth_stp,10153
string_match,4,mcs-timepub,0.0497760079641613
facesim,8,mcs_spin,0.00707363655655372
fmm,1,hticket-ls,0.0292911540714704
volrend,1,backoff,0.05175983436853
lu_ncb,8,malth_spin,0.0605326876513317
bodytrack,4,ttas,0.0376789751318764
kyotocabinet,1,ahmcs,390619
ssl_proxy,4,ttas,9310
lu_ncb,4,clh_stp,0.0323939099449304
blackscholes,8,ticket,0.0255689082076195
pca,1,hticket-ls,0.0454545454545455
ocean_cp,4,pthread,0.148809523809524
p_raytrace,2,spinlock,0.00680410968224808
radiosity_ll,1,mcs_spin,90148
ssl_proxy,4,pthreadadapt,19529
matrix_multiply,4,ticket-ls,0.0112208258527828
rocksdb,1,clh_spin,1438698
water_spatial,1,mcs_spin,0.0263504611330698
canneal,4,c-tkt-tkt,0.0112917795844625
water_nsquared,4,mcs_spin,0.0224719101123595
ocean_cp,2,c-bo-mcs_spin,0.169491525423729
ocean_ncp,1,mcs-ls,0.109051254089422
pca,1,clh_stp,0.0443066016836509
volrend,6,c-bo-mcs_stp,0.0730994152046784
water_nsquared,1,pthreadadapt,0.00653167864141084
p_raytrace,1,mcs-ls,0.00677093912925723
volrend,4,alock-ls,0.103305785123967
s_raytrace,4,ahmcs,0.0746268656716418
p_raytrace,1,ticket,0.00674490759476595
pca_ll,2,ticket-ls,272282
dedup,4,clh_stp,0.00866626224109542
matrix_multiply,8,malth_stp,0.0923361034164358
x264,8,mutexee,0.0896057347670251
pca,1,clh_spin,0.0446627958910228
swaptions,2,ticket,0.0268240343347639
water_nsquared,6,hticket-ls,0.0290023201856149
matrix_multiply,2,c-ptl-tkt,0.0274197970935015
canneal,2,c-bo-mcs_stp,0.00972762645914397
kmeans,4,ticket-ls,0.0229095074455899
bodytrack,1,ahmcs,0.0200280392549569
pca_ll,4,mcs_spin,387501
facesim,8,c-bo-mcs_stp,0.0190258751902588
water_spatial,1,mcs_stp,0.0241954996370675
pca_ll,4,clh_spin,352244
radiosity_ll,1,ahmcs,92585
canneal,2,c-bo-mcs_stp,0.00947597839476926
ocean_ncp,2,ahmcs,0.15220700152207
blackscholes,2,pthread,0.0190294957183635
water_spatial,2,c-tkt-tkt,0.0407331975560081
pca,6,pthreadadapt,0.0469043151969981
vips,1,ttas-ls,0.0383582662063675
pca,6,ahmcs,0.047192071731949
pca,4,malth_spin,0.0539083557951482
pca,1,partitioned,0.0443066016836509
radiosity_ll,6,clh_stp,14595
fft,8,mcs_stp,0.0827129859387924
dedup,1,backoff,0.08110300081103
radiosity_ll,6,partitioned,157060
water_nsquared,1,backoff,0.00652017995696681
water_spatial,6,clh-ls,0.0482160077145612
s_raytrace,1,ttas-ls,0.0221926320461607
streamcluster,4,malth_stp,0.107642626480086
ssl_proxy,8,spinlock-ls,3326
water_nsquared,6,ttas,0.0295770482105886
streamcluster,2,spinlock-ls,0.452488687782805
barnes,2,ttas-ls,0.0328191663931736
histogram,1,clh-ls,0.431034482758621
pca,6,clh_spin,0.0470809792843691
ocean_ncp,8,clh-ls,0.0793021411578113
string_match,8,ticket,0.0611995104039168
blackscholes,1,hmcs,0.0154846701765252
s_raytrace_ll,2,ahmcs,149163
linear_regression,8,hticket-ls,0.289855072463768
word_count,1,mcs_spin,0.0881057268722467
dedup,2,backoff,0.0650195058517555
streamcluster,4,pthread,0.142045454545455
ferret,4,c-ptl-tkt,0.0258732212160414
memcached-new,6,backoff,244297
kmeans,2,hmcs,0.0154655119084442
linear_regression,1,c-bo-mcs_spin,0.862068965517241
lu_cb,2,mcs-timepub,0.0420344682639765
x264,8,ttas-ls,0.0904159132007233
histogram,6,hmcs,0.398406374501992
water_nsquared,1,backoff,0.00614703712810425
ocean_cp,2,alock-ls,0.162866449511401
volrend,8,pthreadadapt,0.0357270453733476
lu_ncb,6,clh_stp,0.0423728813559322
radiosity_ll,2,alock-ls,163221
p_raytrace,8,backoff,0.00688041832943443
ocean_ncp,8,ttas,0.0972762645914397
kmeans,6,spinlock-ls,0.0281928390188892
radiosity,2,c-bo-mcs_spin,0.0239635753654445
word_count,4,malth_spin,0.0900900900900901
water_spatial,2,mcs-timepub,0.0375798571965427
linear_regression,2,ttas,1.05263157894737
memcached-new,1,mutexee,201425
water_nsquared,4,c-tkt-tkt,0.0226808800181447
fluidanimate,1,c-tkt-tkt,0.00575837844063112
radiosity_ll,8,clh_stp,14686
ocean_ncp,1,clh_stp,0.110864745011086
blackscholes,6,mcs-timepub,0.024931438544004
water_nsquared,6,clh_stp,0.0244259892525647
linear_regression,1,ttas,0.763358778625954
x264,8,pthreadadapt,0.0908265213442325
lu_cb,8,c-bo-mcs_spin,0.0645577792123951
p_raytrace,1,c-bo-mcs_stp,0.00681431005110733
bodytrack,8,c-ptl-tkt,0.0410004100041
water_spatial,1,clh-ls,0.022306491188936
lu_cb,4,mutexee,0.0489715964740451
fluidanimate,4,mcs_stp,0.0106757766627522
ferret,1,c-tkt-tkt,0.0120656370656371
barnes,1,c-bo-mcs_stp,0.0194174757281553
water_spatial,4,c-tkt-tkt,0.0615384615384615
lu_cb,4,c-tkt-tkt,0.0502008032128514
matrix_multiply,6,mcs_spin,0.0783085356303837
radiosity_ll,2,ttas-ls,136538
pca,6,partitioned,0.0485908649173955
water_spatial,2,pthreadadapt,0.0406834825061025
rocksdb,1,malth_stp,1462790
freqmine,1,mcs_spin,0.00844238075137189
memcached-old,7,mutexee,22124
linear_regression,8,backoff,1.28205128205128
swaptions,4,pthread,0.0512295081967213
fft,1,backoff,0.0710227272727273
ocean_cp,1,spinlock-ls,0.12531328320802
memcached-old,1,backoff,171078
s_raytrace_ll,2,ticket,148417
linear_regression,4,spinlock,0.934579439252336
memcached-new,6,ticket,113046
ssl_proxy,2,c-bo-mcs_spin,40827
water_spatial,1,c-bo-mcs_stp,0.0251698968034231
bodytrack,8,ttas-ls,0.0403551251008878
string_match,8,c-tkt-tkt,0.0526592943654555
streamcluster_ll,4,malth_stp,6371
streamcluster,2,malth_spin,0.416666666666667
pca,6,spinlock,0.0182848784055586
s_raytrace,8,mcs-timepub,0.0832639467110741
radiosity,1,c-bo-mcs_spin,0.0226963231956423
string_match,8,hmcs,0.0623441396508728
pca,4,hticket-ls,0.0537345513164965
histogram,1,spinlock,0.36231884057971
lu_cb,1,malth_spin,0.024981264051961
upscaledb,6,clh_stp,47703
linear_regression,1,mcs_stp,0.826446280991736
s_raytrace,4,clh_spin,0.0759878419452888
volrend,2,ticket-ls,0.0825763831544178
s_raytrace,6,mcs_stp,0.00868583340571528
string_match,2,partitioned,0.0264061262212833
streamcluster,6,mcs_stp,0.0347705146036161
kyotocabinet,1,hticket-ls,358764
ssl_proxy,6,ahmcs,38491
streamcluster_ll,8,spinlock-ls,786
water_nsquared,2,mcs_spin,0.0121270919233568
volrend,8,c-bo-mcs_spin,0.06426735218509
linear_regression,4,mcs_spin,1.17647058823529
streamcluster_ll,1,ttas,7559
water_spatial,8,c-tkt-tkt,0.0769822940723634
s_raytrace,8,c-ptl-tkt,0.0743494423791822
lu_ncb,8,hticket-ls,0.0565610859728507
s_raytrace,1,mcs-timepub,0.0227427791676143
fmm,1,alock-ls,0.0235849056603774
vips,8,c-bo-mcs_spin,0.0273149412728763
pca,2,ttas-ls,0.0603864734299517
facesim,2,mutexee,0.074794315632012
freqmine,4,mcs_spin,0.0207684319833853
streamcluster_ll,6,c-bo-mcs_spin,3390
canneal,6,hticket-ls,0.0118105586394236
streamcluster_ll,6,pthreadadapt,2382
memcached-old,6,mcs_spin,25680
linear_regression,8,ahmcs,0.87719298245614
ocean_ncp,2,clh_stp,0.146627565982405
ocean_ncp,2,ticket,0.17921146953405
barnes,6,c-tkt-tkt,0.0687285223367698
ocean_cp,1,c-ptl-tkt,0.135135135135135
string_match,6,spinlock,0.0526315789473684
rocksdb,1,hmcs,1493251
blackscholes,8,clh-ls,0.0244498777506112
sqlite,8,mutexee,2684
water_nsquared,4,mutexee,0.0212856534695615
lu_cb,6,mcs-ls,0.0584795321637427
kyotocabinet,2,ttas,141698
dedup,6,spinlock,0.0534473543559594
facesim,8,mutexee,0.0461254612546125
streamcluster_ll,4,c-ptl-tkt,12506
word_count,8,ttas,0.074019245003701
barnes,4,mutexee,0.0578703703703704
rocksdb,4,c-bo-mcs_stp,5339696
s_raytrace,6,mcs-ls,0.0809716599190283
pca,4,pthreadadapt,0.043630017452007
s_raytrace_ll,4,pthreadadapt,99388
p_raytrace,4,c-ptl-tkt,0.00681338148122913
canneal,4,clh_spin,0.010958904109589
pca,8,spinlock-ls,0.0254258835494533
kyotocabinet,2,ttas,218875
pca,2,malth_stp,0.0591016548463357
facesim,4,pthreadadapt,0.0665335994677312
fmm,2,c-bo-mcs_stp,0.0359712230215827
x264,1,mcs_spin,0.0503271263210871
matrix_multiply,1,spinlock-ls,0.0132030631106417
pca,1,malth_spin,0.0440722785368003
radiosity,4,c-bo-mcs_spin,0.0242189392104626
s_raytrace,4,c-ptl-tkt,0.0737463126843658
rocksdb,2,clh-ls,2755019
s_raytrace,6,clh_spin,0.087260034904014
s_raytrace,4,c-tkt-tkt,0.074019245003701
ocean_ncp,2,ticket-ls,0.154320987654321
kyotocabinet,4,mutexee,124162
fmm,4,clh-ls,0.0452488687782805
lu_cb,2,c-bo-mcs_spin,0.0408163265306122
rocksdb,1,partitioned,1453025
barnes,6,clh-ls,0.0706214689265537
histogram,2,spinlock-ls,0.588235294117647
ferret,8,ticket,0.0146584579302257
vips,6,c-bo-mcs_spin,0.149925037481259
water_spatial,6,c-bo-mcs_stp,0.0700280112044818
s_raytrace,6,hticket-ls,0.0775193798449612
pca,8,ahmcs,0.040650406504065
volrend,8,mcs-timepub,0.0584795321637427
dedup,8,c-bo-mcs_spin,0.0157405949944908
ssl_proxy,1,ticket-ls,40243
upscaledb,2,mcs_stp,65391
water_spatial,1,c-bo-mcs_stp,0.0266098988823842
ocean_cp,4,backoff,0.172711571675302
pca,1,c-ptl-tkt,0.0395882818685669
histogram,4,mcs_stp,0.4
pca,8,ttas,0.0167644593461861
canneal,4,mutexee,0.0105440742302826
upscaledb,4,c-bo-mcs_spin,193848
s_raytrace,1,hticket-ls,0.0222915737851092
kmeans,4,pthreadadapt,0.022737608003638
upscaledb,2,pthread,92524
memcached-old,1,spinlock,125510
radix,4,clh-ls,0.215982721382289
volrend,2,backoff,0.0791765637371338
memcached-new,1,ttas-ls,267311
x264,2,ttas,0.0851063829787234
ssl_proxy,2,clh_spin,41157
pca_ll,1,mcs-timepub,151810
facesim,4,mcs_stp,0.0648929266709929
ocean_cp,4,alock-ls,0.175746924428822
pca,2,hmcs,0.0584795321637427
p_raytrace,4,malth_spin,0.00682687056253414
radix,2,ttas,0.140646976090014
histogram,6,clh-ls,0.386100386100386
blackscholes,4,ticket,0.02211900022119
water_nsquared,8,hticket-ls,0.03295978905735
upscaledb,8,clh_stp,48911
matrix_multiply,4,ticket,0.0528820729772607
facesim,4,hmcs,0.0725689404934688
x264,1,spinlock-ls,0.0487329434697856
swaptions,4,ttas-ls,0.0485436893203883
linear_regression,2,clh_stp,1.17647058823529
s_raytrace_ll,6,mcs-timepub,404271
matrix_multiply,8,c-bo-mcs_spin,0.0946073793755913
radiosity,4,c-bo-mcs_stp,0.021654395842356
streamcluster_ll,1,alock-ls,7908
x264,4,mcs-timepub,0.0985221674876847
word_count,8,alock-ls,0.0735835172921266
kmeans,1,malth_stp,0.0104395030796534
streamcluster,4,ahmcs,0.158982511923688
pca,8,spinlock-ls,0.0264340470526038
pca,4,clh_spin,0.0520291363163372
pca,6,pthread,0.0311138767890479
fluidanimate,1,c-tkt-tkt,0.00580012760280726
pca,2,clh-ls,0.0599520383693046
vips,8,spinlock,0.119617224880383
water_spatial,2,alock-ls,0.035486160397445
matrix_multiply,8,hticket-ls,0.0892060660124888
water_spatial,8,mcs_spin,0.0718907260963336
facesim,2,backoff,0.0753579502637528
blackscholes,4,malth_spin,0.0232288037166086
ssl_proxy,1,backoff,38147
pca,4,spinlock,0.0303859009419629
freqmine,4,c-bo-mcs_spin,0.0202511138112596
water_nsquared,8,spinlock,0.037202380952381
ssl_proxy,8,backoff,30434
linear_regression,1,c-bo-mcs_stp,0.925925925925926
barnes,2,mcs_spin,0.0335683115139309
p_raytrace,6,malth_spin,0.00680781537204711
memcached-old,7,pthreadadapt,17315
linear_regression,6,clh_stp,0.854700854700855
ocean_cp,1,spinlock-ls,0.123915737298637
water_nsquared,4,ticket-ls,0.021491510853213
pca,8,mcs-timepub,0.0458085203847916
ferret,6,clh-ls,0.0131682907558599
water_spatial,1,ttas-ls,0.0235849056603774
string_match,6,spinlock,0.0543773790103317
linear_regression,8,c-tkt-tkt,1.26582278481013
facesim,2,c-ptl-tkt,0.0739644970414201
pca,1,c-ptl-tkt,0.0448028673835125
matrix_multiply,1,alock-ls,0.013349352556401
memcached-new,2,c-tkt-tkt,328502
water_spatial,6,pthread,0.0706713780918728
ssl_proxy,6,hticket-ls,32623
swaptions,4,c-tkt-tkt,0.0496770988574267
kyotocabinet,8,backoff,253931
volrend,6,mutexee,0.0788643533123028
x264,2,ttas-ls,0.0847457627118644
facesim,2,spinlock,0.0717875089734386
barnes,1,mutexee,0.0189250567751703
bodytrack,4,mcs-ls,0.0376931775348662
radiosity_ll,8,c-bo-mcs_spin,185290
lu_cb,8,ticket-ls,0.0642260757867694
blackscholes,8,spinlock,0.0254323499491353
string_match,6,partitioned,0.0571428571428571
ocean_cp,1,mcs_spin,0.111856823266219
blackscholes,4,hmcs,0.0224215246636771
ssl_proxy,4,ticket,12046
bodytrack,8,clh-ls,0.0417014178482068
pca,4,mcs_stp,0.0203748981255094
dedup,6,backoff,0.0451875282422052
facesim,2,c-bo-mcs_spin,0.0672947510094213
radiosity,1,ttas,0.0231427910205971
streamcluster,2,backoff,0.4
memcached-new,4,mutexee,92653
radiosity,1,ttas,0.023121387283237
matrix_multiply,2,clh_spin,0.0273298715496037
s_raytrace_ll,1,mcs_stp,102585
linear_regression,4,clh-ls,1.01010101010101
facesim,2,malth_stp,0.0658761528326746
vips,1,alock-ls,0.0382409177820268
matrix_multiply,8,mcs-timepub,0.098135426889107
word_count,2,hticket-ls,0.105708245243129
memcached-new,2,spinlock-ls,180839
streamcluster,1,mcs-ls,0.483091787439614
facesim,1,c-bo-mcs_stp,0.0556173526140156
barnes,4,pthreadadapt,0.0587889476778366
ocean_cp,2,ttas,0.18796992481203
matrix_multiply,1,ttas,0.013840830449827
ssl_proxy,1,clh_stp,34945
pca,6,malth_spin,0.0535331905781585
fmm,4,spinlock-ls,0.0477326968973747
fft,8,pthreadadapt,0.0764525993883792
streamcluster_ll,1,ahmcs,7570
fmm,8,ticket-ls,0.0549752611324904
radix,2,backoff,0.141043723554302
volrend,2,spinlock-ls,0.0796812749003984
blackscholes,8,pthreadadapt,0.0254388196387688
s_raytrace_ll,1,ahmcs,104751
streamcluster_ll,4,spinlock-ls,15975
word_count,8,mcs_stp,0.0738007380073801
upscaledb,2,hmcs,195009
barnes,8,partitioned,0.0775193798449612
barnes,4,mcs_spin,0.05824111822947
memcached-new,6,malth_stp,235619
lu_ncb,4,c-bo-mcs_stp,0.0539956803455724
fmm,1,mcs_stp,0.0347584289190129
lu_ncb,1,clh_stp,0.0192864030858245
memcached-new,2,hmcs,326178
ferret,4,c-bo-mcs_spin,0.040371417036738
ssl_proxy,8,mcs_spin,26151
radiosity,1,clh-ls,0.0226039783001808
dedup,4,c-tkt-tkt,0.05720823798627
vips,4,ttas,0.129198966408269
linear_regression,6,spinlock-ls,1.16279069767442
blackscholes,4,ticket-ls,0.0225022502250225
histogram,8,alock-ls,0.305810397553517
linear_regression,2,ttas,1.05263157894737
canneal,8,ttas-ls,0.0115928587989798
water_nsquared,8,clh_spin,0.0266311584553928
rocksdb,2,clh-ls,2918943
fft,4,mcs-ls,0.0816993464052288
dedup,2,pthread,0.0657894736842105
s_raytrace,4,ttas-ls,0.0473036896877956
streamcluster_ll,8,ticket-ls,1354
canneal,6,c-bo-mcs_spin,0.0115700566932778
streamcluster_ll,4,c-bo-mcs_stp,20746
fmm,2,ttas-ls,0.0352360817477097
canneal,1,c-bo-mcs_stp,0.00793335977786593
facesim,8,clh-ls,0.00653893938403191
histogram,4,ahmcs,0.458715596330275
pca,2,pthread,0.0509164969450102
water_nsquared,4,spinlock-ls,0.0213583938487826
radix,1,c-bo-mcs_stp,0.0784313725490196
water_nsquared,2,mutexee,0.0116795141322121
facesim,8,ttas-ls,0.0291885580852306
volrend,1,spinlock,0.0516262261228704
pca_ll,8,partitioned,249386
ssl_proxy,1,mcs-ls,38416
kyotocabinet,1,hticket-ls,376774
streamcluster_ll,2,pthread,11966
pca,1,c-ptl-tkt,0.044543429844098
kmeans,8,mcs_stp,0.0317158261972724
ocean_ncp,2,c-ptl-tkt,0.167785234899329
ferret,2,clh_stp,0.0236406619385343
sqlite,4,malth_stp,11702
water_spatial,2,mcs_spin,0.0385653682992673
kmeans,8,clh_stp,0.032626427406199
fluidanimate,4,backoff,0.0132520540683806
ocean_ncp,8,clh-ls,0.108225108225108
pca,2,mcs-timepub,0.0586166471277843
radiosity_ll,4,c-tkt-tkt,172813
swaptions,2,c-tkt-tkt,0.0263157894736842
ocean_ncp,2,c-bo-mcs_spin,0.121951219512195
upscaledb,2,mutexee,82924
pca_ll,8,ttas-ls,119715
upscaledb,4,spinlock-ls,84941
histogram,1,hmcs,0.45045045045045
