bench,node,strategy,throughput
pca,4,c-ptl-tkt,0.0460405156537753
kyotocabinet,8,ticket-ls,197965
kyotocabinet,6,alock-ls,241126
word_count,6,spinlock,0.0843881856540084
lu_cb,4,spinlock,0.0451875282422052
rocksdb,1,mcs_stp,1169752
water_nsquared,4,ttas-ls,0.0170212765957447
fmm,8,ttas,0.0553709856035437
barnes,8,clh_spin,0.0820344544708778
ferret,1,clh-ls,0.00727061218554602
s_raytrace,4,c-ptl-tkt,0.0620347394540943
lu_cb,1,c-bo-mcs_stp,0.0155763239875389
pca_ll,1,ttas,102817
radiosity_ll,1,hmcs,70948
canneal,6,clh_stp,0.0116346713205352
ferret,6,ahmcs,0.00960614793467819
memcached-old,2,ahmcs,106673
barnes,2,ttas-ls,0.0300571085061617
vips,1,mcs-ls,0.0166777851901268
ssl_proxy,4,hticket-ls,38075
radix,1,c-bo-mcs_spin,0.0663129973474801
swaptions,6,spinlock-ls,0.0596302921884317
blackscholes,2,alock-ls,0.0182149362477231
water_nsquared,4,ttas,0.0190585096245474
memcached-new,6,c-bo-mcs_stp,134583
upscaledb,6,malth_stp,178850
s_raytrace,6,ticket,0.027972027972028
upscaledb,8,mcs-timepub,140141
water_spatial,1,c-ptl-tkt,0.0199044585987261
water_nsquared,1,c-bo-mcs_stp,0.00493632145325304
x264,8,clh-ls,0.0813669650122051
s_raytrace_ll,1,mutexee,93196
ocean_ncp,2,c-bo-mcs_stp,0.077639751552795
pca_ll,4,mcs_stp,95115
radiosity_ll,6,ticket,45909
water_spatial,2,clh_spin,0.010719262514739
p_raytrace,1,ticket-ls,0.00640368852459016
memcached-new,2,ticket-ls,297440
facesim,2,ticket-ls,0.0594883997620464
facesim,4,malth_spin,0.0729394602479942
streamcluster_ll,8,c-bo-mcs_spin,4692
canneal,2,ticket,0.00915415598681802
pca,4,c-bo-mcs_stp,0.0423190859077444
upscaledb,2,c-tkt-tkt,154875
ferret,8,c-ptl-tkt,0.010842459069717
ssl_proxy,6,pthreadadapt,14444
rocksdb,1,c-tkt-tkt,1129867
water_nsquared,4,pthreadadapt,0.0188679245283019
water_spatial,2,alock-ls,0.0305903946160906
lu_cb,1,c-bo-mcs_spin,0.0155860349127182
ocean_ncp,1,c-bo-mcs_stp,0.0490918016691213
ocean_cp,1,c-tkt-tkt,0.0567536889897843
radiosity,4,ttas,0.0219010074463425
ocean_cp,8,alock-ls,0.139275766016713
streamcluster,4,mcs-timepub,0.116414435389988
matrix_multiply,1,hticket-ls,0.0137722076848919
kmeans,8,pthreadadapt,0.0319693094629156
water_spatial,1,spinlock-ls,0.0198098256735341
water_nsquared,8,mutexee,0.0352609308885755
fft,4,hmcs,0.0707213578500707
kyotocabinet,1,pthreadadapt,253394
streamcluster_ll,2,ahmcs,12865
lu_cb,4,clh_stp,0.0451875282422052
radix,1,ticket-ls,0.066006600660066
vips,1,ahmcs,0.0214270409256482
fft,1,ticket-ls,0.0603500301750151
word_count,8,malth_stp,0.0789265982636148
word_count,6,pthread,0.085397096498719
histogram,4,clh_spin,0.483091787439614
memcached-old,6,mcs_spin,23137
s_raytrace,4,malth_stp,0.0590318772136954
blackscholes,2,ticket,0.0183789744532255
ocean_ncp,8,malth_stp,0.09000900090009
lu_cb,1,mutexee,0.015581177937052
lu_cb,4,mcs_spin,0.0453103760761214
s_raytrace,4,malth_stp,0.00893894699204434
s_raytrace_ll,8,ttas,53459
radiosity,8,mcs_stp,0.014421690222094
s_raytrace,1,alock-ls,0.0174550532379124
water_nsquared,2,c-tkt-tkt,0.00978760888714887
upscaledb,4,ttas,127516
lu_cb,6,spinlock,0.0577367205542725
memcached-old,2,mcs_spin,73715
word_count,4,c-ptl-tkt,0.0925925925925926
water_spatial,6,mcs_stp,0.0627746390458255
memcached-old,4,alock-ls,60099
x264,1,backoff,0.0325097529258778
radix,2,clh-ls,0.116959064327485
upscaledb,6,malth_stp,179297
memcached-old,4,ticket-ls,60210
kyotocabinet,6,hticket-ls,285718
fluidanimate,8,pthreadadapt,0.00723589001447178
volrend,8,c-bo-mcs_spin,0.0791765637371338
streamcluster_ll,6,ahmcs,8172
ocean_cp,8,c-bo-mcs_stp,0.0704721634954193
water_nsquared,2,hmcs,0.00970496894409938
streamcluster,6,pthreadadapt,0.03125
streamcluster,6,c-ptl-tkt,0.136798905608755
water_spatial,2,clh_spin,0.0290444379901249
histogram,6,hticket-ls,0.421940928270042
s_raytrace,8,c-bo-mcs_stp,0.021795989537925
s_raytrace,2,ttas-ls,0.0329815303430079
radiosity,6,c-tkt-tkt,0.0236686390532544
dedup,1,ticket,0.00441852244609403
fft,4,mcs-ls,0.0704225352112676
streamcluster,8,partitioned,0.0411184210526316
canneal,4,ttas,0.010911074740862
x264,8,ttas-ls,0.0824402308326463
pca_ll,1,c-tkt-tkt,88995
radix,4,mcs_stp,0.20746887966805
water_spatial,1,c-bo-mcs_stp,0.0196386488609584
ssl_proxy,1,pthread,29633
water_spatial,2,hticket-ls,0.0338638672536404
word_count,1,c-tkt-tkt,0.0656167979002625
vips,2,mcs-ls,0.0407996736026112
vips,8,c-tkt-tkt,0.0324149108589951
lu_ncb,1,clh_spin,0.0129433083096039
kyotocabinet,6,mutexee,85013
upscaledb,2,malth_spin,175933
histogram,4,hmcs,0.404858299595142
canneal,4,ahmcs,0.0108932461873638
pca_ll,6,mcs_spin,236834
swaptions,4,c-bo-mcs_spin,0.043994720633524
volrend,2,c-ptl-tkt,0.0745712155108128
word_count,2,ttas,0.1001001001001
word_count,8,alock-ls,0.078003120124805
water_nsquared,6,mcs-timepub,0.026816840976133
ocean_ncp,1,clh_spin,0.0488519785051295
fmm,8,ticket-ls,0.0556483027267668
x264,4,c-bo-mcs_spin,0.0593824228028504
fmm,2,mcs_spin,0.0332225913621262
linear_regression,8,malth_stp,1.49253731343284
lu_ncb,6,c-bo-mcs_stp,0.0542299349240781
pca_ll,4,mcs-ls,277507
radiosity_ll,1,spinlock,72327
blackscholes,8,c-bo-mcs_stp,0.025706940874036
dedup,6,malth_spin,0.0051242633871381
linear_regression,8,pthread,1.16279069767442
memcached-new,6,c-tkt-tkt,323783
mysqld,2,mcs_stp,1633
fmm,2,c-bo-mcs_stp,0.0332005312084993
string_match,8,mcs-timepub,0.0625782227784731
dedup,2,malth_spin,0.00919455682236116
radiosity_ll,8,pthreadadapt,63753
ssl_proxy,4,clh-ls,38107
matrix_multiply,8,ticket-ls,0.0988142292490119
streamcluster_ll,1,ttas,7709
upscaledb,2,mcs_stp,67103
histogram,1,ttas-ls,0.261780104712042
linear_regression,1,c-bo-mcs_stp,0.515463917525773
sqlite,6,c-bo-mcs_stp,9113
s_raytrace,6,mcs_stp,0.0104090767148954
mysqld,4,c-bo-mcs_stp,1057
pca_ll,1,c-bo-mcs_stp,101971
pca_ll,4,alock-ls,277556
ssl_proxy,2,mcs_spin,47451
rocksdb,1,pthread,1153304
volrend,6,clh-ls,0.101317122593718
ocean_cp,2,hmcs,0.091324200913242
vips,2,c-tkt-tkt,0.0285714285714286
ocean_ncp,2,backoff,0.0763941940412529
volrend,2,backoff,0.0716845878136201
rocksdb,8,backoff,8526721
radix,1,ahmcs,0.0662690523525514
swaptions,8,alock-ls,0.0868055555555556
dedup,2,mcs_spin,0.0214868929952729
fluidanimate,2,pthreadadapt,0.00603354651864366
linear_regression,6,spinlock-ls,0.833333333333333
volrend,6,c-ptl-tkt,0.104493207941484
radiosity_ll,2,spinlock-ls,138754
blackscholes,6,clh_spin,0.0240789790512882
ocean_ncp,4,c-tkt-tkt,0.134228187919463
s_raytrace,1,ttas-ls,0.017531556802244
ocean_ncp,1,ttas-ls,0.0483558994197292
kmeans,2,mcs-timepub,0.0121359223300971
ocean_cp,2,spinlock,0.0919963201471941
ssl_proxy,2,ttas,37049
water_spatial,1,c-ptl-tkt,0.0198373338623289
streamcluster,4,c-bo-mcs_spin,0.184162062615101
freqmine,8,mcs-ls,0.0181126607498642
barnes,6,mcs_stp,0.0745156482861401
freqmine,6,mcs-ls,0.0168918918918919
blackscholes,6,ticket-ls,0.02460024600246
rocksdb,4,pthreadadapt,5386399
kyotocabinet,6,clh_spin,261809
word_count,8,c-bo-mcs_spin,0.0783085356303837
radiosity,2,c-bo-mcs_stp,0.0235682300259251
vips,6,ahmcs,0.107411385606874
histogram,1,mcs_stp,0.249376558603491
water_spatial,8,clh_stp,0.0125344697919278
radiosity,6,c-bo-mcs_stp,0.0224416517055655
facesim,2,backoff,0.0601684717208183
volrend,1,mcs-timepub,0.0454132606721163
fmm,6,malth_spin,0.0493339911198816
water_spatial,1,clh_stp,0.00884095128635841
x264,4,spinlock,0.0592768227622999
vips,1,ticket-ls,0.0252652854977261
streamcluster_ll,1,ttas,7628
fluidanimate,8,ticket,0.00757920266787934
ocean_ncp,2,c-bo-mcs_stp,0.076103500761035
barnes,1,mcs_spin,0.0161238310222509
x264,4,spinlock,0.0596302921884317
blackscholes,6,alock-ls,0.0240153698366955
kyotocabinet,4,mcs-ls,264000
radiosity,4,mcs-ls,0.0238549618320611
pca,6,c-bo-mcs_spin,0.053763440860215
lu_cb,8,ttas,0.0645577792123951
vips,1,c-bo-mcs_spin,0.0152858453072455
string_match,4,spinlock,0.0346860908775581
lu_ncb,6,ttas-ls,0.0554323725055432
canneal,8,c-bo-mcs_spin,0.0119918455450294
ssl_proxy,8,mcs_stp,2780
radiosity,1,mcs-ls,0.0222568439795237
s_raytrace_ll,8,hmcs,680908
ocean_cp,8,mcs-ls,0.143266475644699
memcached-new,6,ttas,67003
streamcluster,1,c-tkt-tkt,0.462962962962963
radiosity,4,mcs-ls,0.0238038562247084
swaptions,1,ticket-ls,0.0110815602836879
rocksdb,2,clh_spin,2310628
memcached-new,6,mcs-ls,301958
ferret,8,c-bo-mcs_stp,0.0513874614594039
dedup,6,ticket,0.00341227052480721
s_raytrace,1,ahmcs,0.0168918918918919
ssl_proxy,1,clh-ls,35548
ocean_ncp,1,malth_spin,0.0489715964740451
s_raytrace,1,mutexee,0.0167532249958117
pca,2,clh_spin,0.0512032770097286
freqmine,8,ticket,0.0177399325882562
ssl_proxy,1,mcs-ls,36180
s_raytrace,8,spinlock-ls,0.0161786118751011
kyotocabinet,6,ttas-ls,101475
kmeans,6,ttas,0.0261506276150628
fmm,8,clh_spin,0.0509943906170321
word_count,2,spinlock-ls,0.0997008973080758
fluidanimate,2,ticket,0.00880204207376111
kmeans,8,spinlock,0.0321750321750322
fluidanimate,4,mcs-timepub,0.00419269632300532
ocean_ncp,4,clh_stp,0.127226463104326
upscaledb,1,backoff,130587
linear_regression,1,c-bo-mcs_spin,0.518134715025907
facesim,2,clh-ls,0.0602046959662854
dedup,1,ticket-ls,0.047438330170778
pca_ll,6,backoff,287904
water_nsquared,6,malth_spin,0.0269469145782808
s_raytrace_ll,8,spinlock-ls,82640
freqmine,8,malth_stp,0.0178699070764832
radiosity_ll,4,partitioned,182916
s_raytrace,6,ttas-ls,0.0254971953085161
upscaledb,6,c-tkt-tkt,169528
fmm,1,mcs_stp,0.021767522855899
dedup,1,mcs_stp,0.026281208935611
kmeans,4,malth_spin,0.0193948797517455
ocean_ncp,4,c-bo-mcs_stp,0.131233595800525
barnes,2,mutexee,0.0305530094714329
upscaledb,4,mcs-timepub,141443
upscaledb,4,partitioned,154843
fmm,1,hticket-ls,0.0217864923747277
memcached-old,1,malth_stp,112683
kmeans,8,spinlock,0.0320821302534488
rocksdb,8,c-tkt-tkt,10811113
x264,6,mutexee,0.0741839762611276
dedup,8,malth_stp,0.0173100225030293
volrend,6,spinlock-ls,0.0877963125548727
streamcluster,6,alock-ls,0.0983284169124877
histogram,4,spinlock,0.423728813559322
vips,8,c-ptl-tkt,0.0478240076518412
radix,4,malth_spin,0.206611570247934
dedup,6,mcs_spin,0.0349406009783368
s_raytrace,4,pthreadadapt,0.0542888165038002
matrix_multiply,4,c-bo-mcs_stp,0.0520562207183758
rocksdb,8,backoff,8710375
p_raytrace,1,ticket-ls,0.006553509404286
word_count,8,hticket-ls,0.0793021411578113
p_raytrace,2,partitioned,0.00654407434068451
memcached-old,7,ticket,25455
fluidanimate,8,c-tkt-tkt,0.0133226751931788
fft,8,c-bo-mcs_spin,0.0730460189919649
pca,6,spinlock-ls,0.0246730816679003
pca_ll,1,alock-ls,89309
freqmine,2,alock-ls,0.0103852944230969
water_nsquared,2,malth_stp,0.00967117988394584
lu_ncb,2,c-tkt-tkt,0.025953802232027
water_nsquared,6,clh_stp,0.0202020202020202
matrix_multiply,4,mutexee,0.0521920668058455
dedup,6,alock-ls,0.00633352333903351
freqmine,1,pthreadadapt,0.00633312222925902
ssl_proxy,6,clh_spin,34699
p_raytrace,1,hmcs,0.00647962159009914
water_nsquared,8,hticket-ls,0.0346620450606586
s_raytrace_ll,8,ahmcs,689973
streamcluster,8,c-bo-mcs_stp,0.0188786105342647
string_match,6,clh_spin,0.0472143531633617
lu_ncb,6,spinlock,0.0542593597395551
kmeans,2,mutexee,0.0117702448210923
kyotocabinet,6,clh_stp,59493
x264,2,ttas-ls,0.031055900621118
pca_ll,6,alock-ls,241478
ssl_proxy,8,c-tkt-tkt,25701
water_nsquared,4,c-bo-mcs_stp,0.0184604024367731
p_raytrace,1,malth_spin,0.00646956071682733
linear_regression,4,ttas-ls,1.03092783505155
ssl_proxy,6,ticket-ls,21635
upscaledb,4,mcs_spin,160294
ferret,1,spinlock-ls,0.00779058896852602
matrix_multiply,1,mcs-timepub,0.0133547008547009
memcached-old,7,c-bo-mcs_spin,72423
streamcluster,6,hmcs,0.087719298245614
memcached-new,2,ticket,282794
histogram,8,c-bo-mcs_spin,0.289855072463768
vips,1,c-tkt-tkt,0.0204498977505112
streamcluster_ll,1,ttas-ls,7590
facesim,1,mcs_stp,0.0336360578540195
vips,4,ttas,0.103842159916926
volrend,8,c-bo-mcs_spin,0.0789265982636148
p_raytrace,8,alock-ls,0.00659761166457742
water_nsquared,6,c-ptl-tkt,0.0272851296043656
memcached-new,6,mcs_stp,83286
word_count,1,backoff,0.0658327847267939
radiosity_ll,2,pthread,95587
matrix_multiply,6,clh_stp,0.0757002271006813
x264,1,pthreadadapt,0.0327439423706614
ocean_cp,1,ahmcs,0.056785917092561
histogram,1,clh-ls,0.26525198938992
ferret,8,c-tkt-tkt,0.00988826263225551
word_count,4,clh-ls,0.0945179584120983
s_raytrace_ll,8,pthreadadapt,432661
upscaledb,6,ttas,82344
memcached-new,1,mcs_spin,224175
streamcluster,6,ttas-ls,0.0742390497401633
facesim,8,malth_stp,0.0429184549356223
radiosity_ll,4,malth_stp,133536
ssl_proxy,6,clh-ls,34531
lu_ncb,1,spinlock-ls,0.0130191381330556
rocksdb,4,clh_stp,5488239
freqmine,2,clh_stp,0.010404744563521
water_nsquared,1,ticket,0.00491956511044424
pca_ll,4,mcs-ls,277797
kyotocabinet,2,c-bo-mcs_stp,279231
volrend,6,ticket,0.0900900900900901
matrix_multiply,2,alock-ls,0.0273373428102788
