bench,node,strategy,throughput,tpp
linear_regression,3,backoff,2.32558139534884,0.0125027567015682
lu_ncb,1,clh-ls,0.0349895031490553,0.000230610027008378
histogram,1,partitioned,0.806451612903226,0.00583566187913635
canneal,1,malth_stp,0.0111209964412811,9.13533614067694e-05
streamcluster_ll,3,mcs-ls,3123,25.1813886461013
pca,2,alock-ls,0.0922509225092251,0.000640368587142369
blackscholes,3,mcs-timepub,0.033955857385399,0.000258509015810586
matrix_multiply,4,clh-ls,0.118063754427391,0.000520979737051097
ferret,4,clh_spin,0.0121802679658953,5.53894491887829e-05
radiosity_ll,1,mcs_stp,109365,863.589491698719
swaptions,2,ttas,0.066711140760507,0.000368568080374726
water_nsquared,1,c-tkt-tkt,0.0192049164586134,0.000128574068147455
histogram,4,spinlock-ls,0.229357798165138,0.00193191508536165
s_raytrace_ll,2,mcs-ls,352267,1757.91206394557
swaptions,3,ticket-ls,0.099304865938431,0.000461213192282766
streamcluster,1,pthreadadapt,0.537634408602151,0.00378411163307928
ssl_proxy,3,pthread,35750,186.288501390973
water_nsquared,4,c-bo-mcs_spin,0.0602772754671489,0.000268088289465969
canneal,3,ttas,0.0133014099494546,0.000107362723100903
pca_ll,1,hmcs,348540,2172.57101726309
barnes,1,ttas-ls,0.0496524329692155,0.000340562640057088
s_raytrace,1,malth_stp,0.053248136315229,0.000337573718563801
volrend,3,pthread,0.0832639467110741,0.000594370544914898
streamcluster,4,spinlock,0.027693159789532,0.000198612989406014
freqmine,2,mcs_stp,0.0251067034898318,0.000152740941985169
streamcluster_ll,3,spinlock-ls,5415,32.9720343261102
bodytrack,4,pthreadadapt,0.0408997955010225,0.000314159293964837
barnes,4,clh_spin,0.121802679658952,0.000616520050687344
freqmine,1,malth_spin,0.0165672630881378,0.000112317736132552
kmeans,3,spinlock-ls,0.0404203718674212,0.000191551173912864
lu_ncb,3,alock-ls,0.0621890547263682,0.000343843772579382
barnes,3,spinlock,0.119617224880383,0.000627820190268392
word_count,1,backoff,0.129032258064516,0.000971498461805112
barnes,4,c-ptl-tkt,0.141442715700141,0.00068127272607443
linear_regression,2,c-tkt-tkt,1.75438596491228,0.0105981649892015
canneal,2,spinlock-ls,0.0128435653737478,0.000104541910860741
pca,4,mutexee,0.0646412411118293,0.000368231120763742
blackscholes,1,malth_spin,0.0255036980362153,0.000200112844393382
water_nsquared,4,pthreadadapt,0.0634115409004439,0.000272046691047128
ferret,4,mcs_spin,0.0120525491141376,5.50075971685545e-05
streamcluster_ll,3,spinlock,2864,21.6490055052348
kmeans,2,alock-ls,0.0320821302534488,0.000175623467057616
s_raytrace_ll,4,c-bo-mcs_spin,525464,2078.07151559116
lu_ncb,2,alock-ls,0.0473036896877956,0.000284187836681131
pca,1,hticket-ls,0.0815660685154976,0.000597052193192809
radiosity_ll,1,spinlock-ls,171790,1161.8942722339
upscaledb,2,partitioned,220651,1328.61337017346
radiosity,4,malth_stp,0.0566893424036281,0.000475435931068113
memcached,2,ticket,58230,344.549805206877
barnes,4,ticket,0.132275132275132,0.000641675198545873
streamcluster,4,hmcs,0.195694716242661,0.000932860943745752
radiosity,2,hmcs,0.0669792364367046,0.000554296213343322
kyotocabinet,1,c-bo-mcs_spin,487901,3444.40690989109
word_count,3,mcs_stp,0.0447227191413238,0.000397223547069781
s_raytrace,4,mcs-timepub,0.131233595800525,0.000524130894942302
fmm,2,pthreadadapt,0.0590318772136954,0.000408456658390108
volrend,4,clh-ls,0.0673854447439353,0.000483597616763047
bodytrack,4,mcs-ls,0.0448631673396142,0.000329266544462286
ferret,4,mcs-ls,0.0112007168458781,5.03018690868213e-05
radiosity,2,partitioned,0.061012812690665,0.000489683222630517
streamcluster_ll,4,ttas,2950,23.5825515530965
linear_regression,3,c-tkt-tkt,2.32558139534884,0.0121822368587196
water_spatial,3,ahmcs,0.0116373792621902,9.66160220592998e-05
memcached,1,ticket-ls,115024,766.092168139541
kmeans,1,mcs-ls,0.0229515721826945,0.000152773369071477
water_spatial,1,malth_spin,0.0461680517082179,0.000333879936747367
rocksdb,2,pthreadadapt,4937172,27765.201141583
barnes,3,partitioned,0.120336943441637,0.000631376968945605
histogram,2,pthreadadapt,0.675675675675676,0.00511152924897032
streamcluster,4,ticket,0.0225377507324769,0.000167567222885413
