bench,node,strategy,throughput
water_spatial,8,c-bo-mcs_stp,0.0848896434634975
memcached-new,6,mcs_spin,391820
barnes,8,mutexee,0.0865800865800866
fmm,1,ttas,0.0288184438040346
barnes,6,ticket,0.0766871165644172
streamcluster_ll,4,ticket,12988
linear_regression,1,malth_stp,0.813008130081301
ferret,4,mcs_spin,0.0326370757180157
dedup,6,ttas,0.0505816894284269
pca,8,ticket-ls,0.0548245614035088
radiosity,2,c-bo-mcs_spin,0.0536480686695279
linear_regression,4,ttas,1.19047619047619
word_count,8,spinlock-ls,0.0925069380203515
linear_regression,4,c-ptl-tkt,1.42857142857143
s_raytrace_ll,8,ttas,96908
water_spatial,2,malth_spin,0.0403877221324717
histogram,6,partitioned,0.490196078431373
linear_regression,8,partitioned,1.16279069767442
rocksdb,4,clh_stp,4482116
volrend,8,ttas,0.0675219446320054
word_count,6,clh_spin,0.106496272630458
x264,1,c-bo-mcs_spin,0.0468384074941452
blackscholes,2,c-bo-mcs_spin,0.0245821042281219
memcached-old,1,malth_stp,75708
radiosity,4,pthread,0.0484027105517909
lu_ncb,4,spinlock-ls,0.0431965442764579
kmeans,8,mcs-timepub,0.0405844155844156
dedup,4,hticket-ls,0.0289184499710816
pca,2,ttas-ls,0.0660501981505944
ssl_proxy,8,hticket-ls,37765
linear_regression,8,spinlock-ls,1.0989010989011
volrend,6,c-tkt-tkt,0.118343195266272
memcached-new,6,ticket-ls,246443
x264,4,ahmcs,0.110741971207087
fmm,4,clh_stp,0.062266500622665
lu_ncb,2,c-ptl-tkt,0.0322061191626409
water_spatial,1,ticket-ls,0.0263435194942044
matrix_multiply,8,mcs_stp,0.105708245243129
linear_regression,1,mutexee,0.840336134453782
matrix_multiply,6,ttas-ls,0.0896860986547085
rocksdb,4,malth_stp,4887868
rocksdb,4,mcs-ls,4904671
radiosity,4,mcs-ls,0.05720823798627
kyotocabinet,6,c-bo-mcs_stp,102887
streamcluster_ll,1,c-ptl-tkt,6279
pca_ll,8,pthread,168695
water_nsquared,4,hticket-ls,0.0217912399215515
linear_regression,6,clh_stp,0.900900900900901
pca,1,clh_spin,0.0456412596987677
freqmine,4,ticket-ls,0.0235682300259251
water_spatial,1,spinlock-ls,0.0264550264550265
freqmine,2,ticket-ls,0.0137912012136257
pca,2,partitioned,0.06426735218509
matrix_multiply,1,hticket-ls,0.0278629144608526
radiosity,8,mcs-ls,0.0515729757607014
linear_regression,8,clh-ls,1.36986301369863
linear_regression,6,ahmcs,1.51515151515152
string_match,8,hticket-ls,0.0590318772136954
x264,1,ttas,0.0469043151969981
string_match,4,alock-ls,0.0495049504950495
fmm,6,pthreadadapt,0.0585137507314219
kyotocabinet,6,spinlock-ls,49489
s_raytrace_ll,8,ttas-ls,111229
s_raytrace_ll,8,spinlock-ls,113722
water_nsquared,2,mcs_spin,0.0149835181300569
radiosity,8,mcs-timepub,0.0546746856205577
s_raytrace_ll,4,c-tkt-tkt,247646
ssl_proxy,1,hticket-ls,38197
streamcluster_ll,6,malth_spin,6161
fmm,1,ticket,0.0303951367781155
blackscholes,2,backoff,0.0226244343891403
streamcluster_ll,6,ttas,10411
memcached-old,6,mcs_stp,42698
linear_regression,8,mcs_spin,1.47058823529412
freqmine,8,ahmcs,0.0273822562979189
matrix_multiply,2,clh_stp,0.0466417910447761
streamcluster_ll,4,alock-ls,15103
vips,8,c-ptl-tkt,0.0861326442721792
rocksdb,4,c-bo-mcs_stp,4649465
radiosity,2,hticket-ls,0.0541125541125541
streamcluster_ll,8,c-tkt-tkt,6168
fmm,2,c-bo-mcs_stp,0.0383288616328095
freqmine,4,pthread,0.0224416517055655
fmm,8,mcs_stp,0.0847457627118644
pca,2,ttas-ls,0.0673854447439353
dedup,1,ttas,0.0814332247557003
histogram,2,ticket,0.578034682080925
canneal,4,ttas,0.0125628140703518
histogram,8,mcs-timepub,0.37593984962406
bodytrack,4,c-bo-mcs_spin,0.0440528634361234
s_raytrace,8,ahmcs,0.0535045478865704
pca,6,pthread,0.0418760469011725
word_count,8,ticket,0.0890471950133571
kyotocabinet,2,malth_stp,231857
rocksdb,2,clh_spin,2566994
lu_ncb,1,ttas,0.0166002656042497
streamcluster,4,malth_stp,0.240384615384615
rocksdb,6,ticket-ls,6574192
fmm,2,partitioned,0.0377643504531722
water_nsquared,6,partitioned,0.03269042170644
x264,4,mcs_spin,0.108108108108108
memcached-old,4,malth_stp,78981
volrend,6,pthread,0.100704934541793
streamcluster,8,spinlock-ls,0.0397772474144789
memcached-new,6,malth_spin,294728
histogram,6,mcs-ls,0.471698113207547
volrend,8,ahmcs,0.0825763831544178
vips,8,ttas-ls,0.186567164179104
string_match,4,spinlock-ls,0.0497760079641613
histogram,4,c-bo-mcs_stp,0.561797752808989
rocksdb,8,partitioned,9151309
fmm,4,partitioned,0.0634517766497462
volrend,8,spinlock,0.0484730974309258
ssl_proxy,1,clh-ls,38027
canneal,1,ttas-ls,0.00801089481695105
lu_ncb,8,spinlock-ls,0.0564015792442188
upscaledb,6,mutexee,130655
linear_regression,8,mcs-ls,1.49253731343284
lu_ncb,4,mutexee,0.0534473543559594
streamcluster,4,c-bo-mcs_spin,0.0772797527047913
linear_regression,2,hmcs,1.40845070422535
fmm,8,c-ptl-tkt,0.0574712643678161
dedup,1,mcs_spin,0.0315955766192733
streamcluster,2,ticket-ls,0.609756097560976
fmm,4,c-ptl-tkt,0.0520833333333333
matrix_multiply,8,c-tkt-tkt,0.102564102564103
lu_ncb,6,pthreadadapt,0.0409332787556283
lu_cb,4,clh_spin,0.0560224089635854
rocksdb,6,c-tkt-tkt,6671960
string_match,2,ticket-ls,0.0281928390188892
canneal,4,spinlock,0.0128024580719498
ssl_proxy,2,c-tkt-tkt,52104
ferret,8,ttas-ls,0.0478011472275335
linear_regression,2,mutexee,1.23456790123457
freqmine,1,hmcs,0.00876962202929054
x264,1,c-ptl-tkt,0.0469924812030075
lu_ncb,8,ttas,0.0563063063063063
lu_cb,6,spinlock,0.0713775874375446
s_raytrace,8,c-bo-mcs_spin,0.051440329218107
kmeans,8,malth_stp,0.040290088638195
radiosity,8,ticket,0.0390625
linear_regression,8,clh_stp,1.0752688172043
lu_ncb,8,c-tkt-tkt,0.0651465798045603
word_count,8,ahmcs,0.0925069380203515
p_raytrace,4,c-bo-mcs_spin,0.013646288209607
dedup,6,ticket,0.00604850904252102
word_count,1,c-tkt-tkt,0.0929368029739777
streamcluster_ll,8,ticket-ls,4046
kyotocabinet,8,ttas,83020
lu_ncb,4,spinlock,0.0385951370127364
volrend,4,alock-ls,0.119760479041916
lu_ncb,2,c-bo-mcs_spin,0.0310655483069276
rocksdb,6,c-tkt-tkt,7181531
radiosity,1,spinlock-ls,0.0417014178482068
histogram,2,c-ptl-tkt,0.584795321637427
