bench,node,strategy,throughput,latency
mysqld,8,pthread,1045,16709
ssl_proxy,4,c-ptl-tkt,41866,3526655
ssl_proxy,6,ahmcs,37560,13107199
kyotocabinet,8,spinlock-ls,19969,23199
memcached-old,4,pthreadadapt,39547,8039
memcached-new,1,ticket-ls,263486,3447
mysqld,1,c-bo-mcs_stp,818,37973
kyotocabinet,1,malth_stp,314067,142
kyotocabinet,2,mcs_spin,329590,148
kyotocabinet,6,mcs_stp,66043,1935
mysqld,4,c-bo-mcs_stp,793,19373
kyotocabinet,2,c-ptl-tkt,329044,514
ssl_proxy,8,mcs-timepub,24153,21446655
memcached-old,4,c-bo-mcs_spin,87751,2323
memcached-old,2,ttas-ls,86387,2413
ssl_proxy,6,spinlock-ls,4383,71958527
memcached-old,2,alock-ls,83971,3035
upscaledb,2,partitioned,180861,119
kyotocabinet,4,mutexee,121638,1505
upscaledb,8,ttas-ls,44500,12279
memcached-old,4,mcs_spin,42719,9791
ssl_proxy,4,spinlock-ls,8440,30507007
memcached-new,2,alock-ls,310235,3209
memcached-old,7,pthread,16931,31807
kyotocabinet,6,malth_spin,233835,164
sqlite,6,mcs-timepub,1376,1733631
memcached-old,2,malth_spin,91028,2071
upscaledb,2,clh-ls,175554,120
upscaledb,1,hticket-ls,166876,75
mysqld,6,pthreadadapt,997,383080
upscaledb,8,ticket,90066,788
ssl_proxy,1,pthreadadapt,38132,800767
memcached-new,6,ticket-ls,195267,8255
kyotocabinet,1,pthreadadapt,277387,272
ssl_proxy,6,malth_stp,24689,18792447
sqlite,4,pthreadadapt,6457,232703
memcached-old,1,alock-ls,110366,1619
memcached-old,4,c-tkt-tkt,73920,2841
kyotocabinet,4,ticket,134197,651
memcached-old,1,mcs-timepub,123677,1587
kyotocabinet,1,malth_stp,331384,137
memcached-new,4,mutexee,100751,11247
memcached-new,1,malth_spin,244008,3501
ssl_proxy,6,pthreadadapt,14747,25149439
kyotocabinet,6,alock-ls,248680,568
sqlite,8,mcs-timepub,477,2236415
ssl_proxy,6,clh-ls,33636,8806399
kyotocabinet,6,clh_stp,61474,2101
memcached-old,6,ttas-ls,30205,15255
memcached-old,7,ticket,14160,34015
kyotocabinet,2,malth_stp,301579,142
ssl_proxy,6,mcs_spin,34705,6184959
upscaledb,1,hticket-ls,167430,74
memcached-new,2,mcs-timepub,304071,3269
ssl_proxy,8,pthread,7959,84148223
upscaledb,8,malth_spin,191839,307
upscaledb,8,c-tkt-tkt,169296,4367
ssl_proxy,1,pthreadadapt,37013,824319
upscaledb,6,ttas,67503,10751
memcached-new,2,c-tkt-tkt,338296,2879
memcached-old,2,mcs_stp,72901,2737
memcached-old,7,ticket,14351,34431
ssl_proxy,8,ttas,4007,89325567
upscaledb,8,clh-ls,159706,476
kyotocabinet,6,pthreadadapt,99903,4767
upscaledb,8,alock-ls,160927,481
ssl_proxy,2,hticket-ls,46271,1326079
memcached-old,2,spinlock,72421,4211
memcached-new,6,hmcs,328167,2955
upscaledb,8,malth_spin,191589,307
kyotocabinet,4,spinlock,78900,2513
kyotocabinet,6,malth_spin,233428,161
kyotocabinet,1,malth_stp,309894,143
memcached-old,6,mutexee,20435,20623
memcached-old,1,malth_stp,139868,1444
upscaledb,4,hticket-ls,198744,4635
upscaledb,8,mcs_stp,49169,1380
ssl_proxy,1,c-bo-mcs_spin,36640,844287
kyotocabinet,8,hticket-ls,278664,2991
ssl_proxy,6,malth_spin,29569,15335423
memcached-new,4,ttas,97819,24095
kyotocabinet,8,c-tkt-tkt,250763,2643
ssl_proxy,6,mcs-ls,33660,6000639
memcached-new,2,c-tkt-tkt,306712,3239
kyotocabinet,2,mcs_spin,328078,149
upscaledb,8,spinlock-ls,29496,18591
ssl_proxy,2,ticket-ls,41756,1519615
kyotocabinet,6,clh_stp,60082,2135
memcached-new,6,c-bo-mcs_spin,211397,27839
sqlite,8,malth_stp,12012,212351
ssl_proxy,4,mutexee,14000,13967359
sqlite,2,pthread,5522,241023
mysqld,2,c-bo-mcs_stp,794,17280
kyotocabinet,4,ticket-ls,236479,390
memcached-old,7,spinlock,20303,29519
upscaledb,8,ticket-ls,122704,618
kyotocabinet,2,hmcs,335909,320
upscaledb,4,ahmcs,203566,3527
upscaledb,2,pthreadadapt,106688,1935
kyotocabinet,8,ttas-ls,78460,3995
memcached-new,2,ticket-ls,303602,3257
memcached-old,6,c-bo-mcs_spin,72082,13215
ssl_proxy,2,ttas-ls,22464,14008319
memcached-old,6,spinlock-ls,29352,16879
ssl_proxy,6,ticket,9950,46989311
upscaledb,4,c-ptl-tkt,188445,3835
ssl_proxy,2,pthread,25069,3049471
kyotocabinet,2,backoff,350011,145
upscaledb,6,mcs-timepub,139866,443
upscaledb,8,mcs-timepub,137122,557
memcached-new,4,ttas-ls,131078,34463
ssl_proxy,8,spinlock,2163,90701823
kyotocabinet,2,spinlock,147934,585
memcached-new,2,spinlock-ls,200628,6043
ssl_proxy,1,ticket,38304,786943
ssl_proxy,4,c-tkt-tkt,39680,6406143
ssl_proxy,4,malth_stp,25646,12771327
ssl_proxy,1,ticket-ls,39663,756735
ssl_proxy,8,ttas,4201,88539135
upscaledb,2,pthreadadapt,108466,1865
kyotocabinet,8,c-bo-mcs_spin,323219,80
memcached-new,6,ticket,116003,9919
memcached-old,6,mutexee,21690,20543
memcached-old,1,spinlock,163485,1427
ssl_proxy,2,clh-ls,42333,1534975
kyotocabinet,4,mcs-timepub,273454,345
ssl_proxy,2,hmcs,44518,1361919
memcached-new,6,ticket,116372,9831
memcached-old,4,mcs_spin,37810,5595
ssl_proxy,6,ahmcs,38477,14401535
sqlite,2,mutexee,6262,215423
kyotocabinet,1,mutexee,232988,325
ssl_proxy,2,ticket,21614,2785279
ssl_proxy,1,spinlock-ls,38606,805375
ssl_proxy,2,mcs_spin,42602,1440767
memcached-new,1,c-bo-mcs_spin,172741,6387
memcached-new,2,ahmcs,333817,2973
kyotocabinet,6,c-bo-mcs_spin,348798,56
ssl_proxy,6,ttas-ls,7427,55574527
upscaledb,6,alock-ls,163849,358
sqlite,2,pthread,5665,239999
upscaledb,6,c-tkt-tkt,170409,4311
upscaledb,2,alock-ls,180659,118
upscaledb,4,mcs-ls,175761,221
memcached-old,4,mcs-ls,51637,3879
ssl_proxy,6,malth_stp,24366,22036479
upscaledb,4,malth_spin,200158,355
memcached-new,6,ticket,105656,9711
memcached-new,4,mutexee,102518,11015
memcached-new,6,ahmcs,320708,3023
memcached-old,6,spinlock,24428,18607
memcached-new,1,mutexee,203268,3923
upscaledb,6,alock-ls,162115,362
kyotocabinet,8,malth_spin,226872,151
memcached-new,2,backoff,229453,10911
mysqld,2,mutexee,986,14755
memcached-new,2,mcs_spin,304251,3293
memcached-new,1,ticket,258475,3457
upscaledb,8,alock-ls,161037,479
memcached-new,2,pthread,163011,6263
memcached-new,6,malth_spin,255146,42207
upscaledb,2,spinlock,126539,619
ssl_proxy,1,c-tkt-tkt,38504,794623
memcached-old,4,c-bo-mcs_stp,92432,2293
memcached-new,6,mcs_spin,305381,4323
kyotocabinet,1,ahmcs,375100,112
upscaledb,2,hmcs,196027,2267
ssl_proxy,4,c-bo-mcs_spin,35674,10166271
ssl_proxy,6,hmcs,37704,6336511
upscaledb,1,backoff,144984,299
mysqld,8,mcs_stp,993,27192
memcached-old,2,mcs_spin,73335,4619
memcached-old,4,pthread,38651,6659
memcached-old,2,pthreadadapt,74946,5063
memcached-new,1,malth_stp,232857,3667
kyotocabinet,2,ahmcs,336232,308
ssl_proxy,1,pthread,30470,966143
kyotocabinet,6,hticket-ls,298543,2769
memcached-new,6,pthreadadapt,95021,13927
upscaledb,6,mcs-timepub,142901,434
memcached-old,7,mcs_stp,16065,33727
memcached-new,2,spinlock,169934,6883
upscaledb,2,malth_stp,168799,344
memcached-old,2,pthreadadapt,63387,5587
kyotocabinet,1,malth_spin,328830,147
upscaledb,8,ahmcs,175161,4195
memcached-new,4,c-bo-mcs_spin,231697,20959
memcached-new,1,mutexee,198689,4087
memcached-new,6,hmcs,323948,3023
kyotocabinet,8,clh_spin,248397,781
ssl_proxy,8,mutexee,7160,84606975
mysqld,8,c-bo-mcs_stp,791,27168
ssl_proxy,6,c-bo-mcs_spin,29217,18055167
ssl_proxy,8,hmcs,32083,12206079
ssl_proxy,6,spinlock-ls,4506,80805887
ssl_proxy,6,ttas-ls,7545,56098815
ssl_proxy,2,malth_spin,35350,1953791
upscaledb,8,malth_stp,179600,257
upscaledb,6,alock-ls,162561,361
kyotocabinet,2,ttas,148164,1359
memcached-new,4,mcs-timepub,299268,3333
upscaledb,4,mutexee,88522,3993
ssl_proxy,2,clh_spin,40996,1425407
mysqld,4,c-bo-mcs_stp,759,113509
ssl_proxy,6,alock-ls,35398,5537791
kyotocabinet,8,malth_spin,220539,152
upscaledb,1,mcs_stp,67149,143
memcached-old,6,pthread,23645,13711
memcached-new,6,ticket,118551,9383
memcached-new,2,ttas-ls,245836,16927
memcached-old,4,malth_spin,51225,7655
ssl_proxy,6,spinlock-ls,4600,82247679
kyotocabinet,6,pthread,84793,3087
upscaledb,6,clh_spin,165646,354
upscaledb,8,clh-ls,160521,476
upscaledb,2,clh-ls,177063,119
sqlite,2,c-bo-mcs_stp,11050,136959
memcached-new,2,malth_stp,247392,9223
memcached-old,4,spinlock,39945,10399
memcached-old,7,mcs_stp,16469,32799
memcached-new,6,ticket,116643,9687
ssl_proxy,1,ttas-ls,38466,856063
memcached-new,2,ttas,224683,5655
kyotocabinet,2,clh-ls,284659,167
kyotocabinet,4,pthreadadapt,147330,2135
ssl_proxy,6,mcs_stp,4429,90046463
memcached-new,4,ttas,103286,29615
memcached-new,6,ticket-ls,201463,7695
memcached-old,2,c-tkt-tkt,103082,1877
upscaledb,2,spinlock,124469,665
upscaledb,1,mcs-ls,162803,76
memcached-old,6,backoff,24739,17807
upscaledb,4,ttas,82093,4887
mysqld,1,pthread,975,16754
ssl_proxy,8,ticket,8564,71106559
upscaledb,1,mcs_stp,67951,142
memcached-old,1,ttas,170737,2249
ssl_proxy,2,clh_stp,5025,18923519
memcached-new,2,malth_spin,292504,5895
kyotocabinet,1,c-bo-mcs_stp,327239,30
memcached-old,1,c-bo-mcs_stp,137971,1400
sqlite,2,c-bo-mcs_stp,11103,145535
kyotocabinet,2,spinlock,126177,706
ssl_proxy,2,spinlock,17184,7196671
sqlite,4,malth_stp,11615,151807
memcached-old,4,c-bo-mcs_spin,93328,2955
upscaledb,8,ticket-ls,121583,621
memcached-new,6,hmcs,298728,3243
memcached-old,1,ticket-ls,178069,1255
upscaledb,1,pthreadadapt,85232,1358
memcached-old,7,backoff,18999,32207
ssl_proxy,2,ticket-ls,41704,1438719
ssl_proxy,6,spinlock,3546,83623935
mysqld,2,mcs-timepub,663,74723
upscaledb,1,pthreadadapt,86014,1608
memcached-old,6,ttas-ls,28245,13447
upscaledb,8,clh_spin,164200,468
memcached-new,4,mutexee,96906,11711
ssl_proxy,4,mcs_stp,4789,66191359
ssl_proxy,1,partitioned,37561,846335
kyotocabinet,1,pthreadadapt,285721,261
kyotocabinet,2,mcs_stp,79883,542
sqlite,6,c-bo-mcs_stp,10823,270591
sqlite,6,mutexee,3138,535551
mysqld,4,pthreadadapt,917,16811
memcached-new,4,malth_stp,244087,27903
memcached-new,4,c-tkt-tkt,310222,3205
memcached-new,6,ticket,113046,8911
upscaledb,2,hticket-ls,200808,2043
kyotocabinet,1,alock-ls,316665,77
upscaledb,2,mcs_stp,63821,284
memcached-new,4,c-bo-mcs_spin,224544,22767
upscaledb,4,hticket-ls,198368,4635
mysqld,2,malth_stp,1053,65968
memcached-old,1,mcs_stp,118973,1501
kyotocabinet,1,clh-ls,304834,80
kyotocabinet,1,pthread,243568,166
kyotocabinet,2,ticket-ls,298254,160
upscaledb,1,ttas-ls,156248,231
upscaledb,4,backoff,154823,2413
mysqld,2,pthread,1020,22317
memcached-old,7,hmcs,56951,18879
ssl_proxy,4,spinlock-ls,8526,31424511
kyotocabinet,2,hmcs,329857,317
memcached-old,1,c-tkt-tkt,131247,1468
memcached-old,7,malth_stp,29112,18399
memcached-new,4,hmcs,302851,3309
memcached-old,2,ttas-ls,82594,2565
upscaledb,4,partitioned,176309,223
memcached-old,4,pthreadadapt,34733,8207
ssl_proxy,1,c-bo-mcs_stp,35210,890879
upscaledb,8,c-bo-mcs_stp,91750,703
memcached-new,1,spinlock-ls,247473,8079
memcached-new,6,hmcs,320623,3081
memcached-old,6,pthreadadapt,20573,17775
ssl_proxy,2,ttas,23699,11296767
mysqld,8,mcs_stp,968,19057
memcached-old,7,pthread,16666,32447
memcached-new,1,pthread,194803,4123
kyotocabinet,6,c-bo-mcs_stp,182381,291
kyotocabinet,4,mutexee,126352,1475
ssl_proxy,2,ttas-ls,21995,14893055
memcached-old,6,spinlock,22932,16767
ssl_proxy,4,clh_stp,4809,66879487
kyotocabinet,4,ticket,133860,652
ssl_proxy,8,hticket-ls,27907,18071551
upscaledb,8,mcs-timepub,140009,560
ssl_proxy,6,spinlock-ls,4577,78184447
memcached-new,2,ticket-ls,299533,3225
memcached-old,6,spinlock,23707,17711
kyotocabinet,8,mcs-ls,237255,808
upscaledb,8,spinlock-ls,30053,16799
memcached-old,1,pthread,129612,2489
upscaledb,8,pthread,57055,4795
kyotocabinet,2,hmcs,330227,319
kyotocabinet,4,mutexee,134454,1421
ssl_proxy,8,clh_spin,26823,21118975
kyotocabinet,8,ticket-ls,173856,1107
mysqld,6,mcs-timepub,652,68822
ssl_proxy,6,clh-ls,33998,8290303
upscaledb,4,ahmcs,202793,3541
ssl_proxy,8,pthreadadapt,12048,51806207
memcached-new,2,ttas-ls,231033,12799
upscaledb,4,ticket,111671,323
memcached-old,1,mcs-ls,119574,1581
memcached-new,6,spinlock-ls,41877,51487
kyotocabinet,8,malth_stp,262513,142
ssl_proxy,4,spinlock,7055,47874047
memcached-new,6,ahmcs,317871,2979
mysqld,8,c-bo-mcs_stp,747,28034
memcached-old,7,c-bo-mcs_stp,54505,21567
upscaledb,2,mutexee,78332,4935
ssl_proxy,8,pthreadadapt,12154,51642367
memcached-new,4,malth_spin,289246,27087
ssl_proxy,8,clh_spin,26477,21069823
sqlite,4,malth_stp,11347,157823
kyotocabinet,6,pthreadadapt,103362,4415
kyotocabinet,4,mcs-ls,277770,339
upscaledb,8,clh_spin,163527,470
kyotocabinet,4,ahmcs,341267,1739
memcached-old,2,pthreadadapt,67427,4061
kyotocabinet,1,ticket-ls,344450,73
sqlite,8,pthread,2758,688127
upscaledb,2,malth_stp,167951,348
ssl_proxy,6,mutexee,8737,52232191
memcached-new,6,malth_stp,246241,38591
mysqld,1,mcs_stp,983,48877
kyotocabinet,8,mcs_stp,57359,2947
memcached-old,2,mcs-ls,87298,2000
memcached-old,6,c-tkt-tkt,50451,15079
memcached-new,1,spinlock,237747,6907
memcached-new,6,alock-ls,289333,3407
memcached-old,7,malth_spin,31117,20991
upscaledb,4,malth_spin,199470,341
ssl_proxy,4,malth_spin,32611,6062079
ssl_proxy,2,clh_stp,5098,11460607
sqlite,4,pthread,4312,349951
sqlite,1,mcs-timepub,11723,105855
ssl_proxy,6,pthread,9686,48955391
memcached-old,2,malth_spin,85897,3475
mysqld,2,malth_stp,1034,484894
memcached-new,2,ttas-ls,251672,8279
memcached-new,1,mcs-timepub,249188,3569
sqlite,1,mcs_stp,10774,118463
upscaledb,6,clh-ls,161123,360
memcached-old,4,pthread,35666,5503
upscaledb,6,ttas,63790,10351
ssl_proxy,1,malth_stp,34521,869375
memcached-old,4,pthreadadapt,32141,5803
ssl_proxy,4,ttas,8245,68681727
upscaledb,8,spinlock,22396,15335
ssl_proxy,1,c-bo-mcs_stp,36111,921599
mysqld,8,malth_stp,941,9820
upscaledb,1,partitioned,164194,75
kyotocabinet,1,c-bo-mcs_stp,354193,25
memcached-old,7,mcs-ls,27726,20175
ssl_proxy,1,clh-ls,36211,811519
upscaledb,6,ahmcs,180189,4043
memcached-old,1,ticket-ls,173561,2695
kyotocabinet,8,ttas,46517,18879
ssl_proxy,6,c-bo-mcs_spin,30824,16793599
kyotocabinet,6,mcs-ls,256070,552
upscaledb,8,mcs_spin,160462,487
upscaledb,2,c-ptl-tkt,196423,1475
ssl_proxy,2,clh_spin,40730,1651711
ssl_proxy,1,malth_stp,34057,863231
ssl_proxy,4,malth_spin,32476,5296127
memcached-new,4,pthread,86621,12911
kyotocabinet,1,pthreadadapt,276853,273
kyotocabinet,1,c-bo-mcs_stp,333809,24
upscaledb,2,ttas-ls,136635,622
sqlite,1,malth_stp,9617,129151
kyotocabinet,6,mcs-ls,256975,553
kyotocabinet,6,clh_stp,60519,2115
memcached-new,1,mcs-ls,250287,3185
ssl_proxy,8,malth_stp,23382,21053439
memcached-old,2,mutexee,92524,7835
kyotocabinet,8,pthreadadapt,89148,7299
sqlite,4,malth_stp,11775,152575
ssl_proxy,2,backoff,44549,1925119
upscaledb,2,pthread,82442,4999
kyotocabinet,1,spinlock-ls,240437,189
ssl_proxy,2,ticket,23308,3088383
memcached-new,1,mcs_spin,255777,3539
upscaledb,6,mutexee,88249,5615
memcached-new,2,malth_stp,261015,7879
kyotocabinet,1,ticket,295700,82
ssl_proxy,4,mutexee,13100,14925823
memcached-new,1,ttas,263617,3409
memcached-new,4,mutexee,97871,11519
memcached-old,2,c-bo-mcs_spin,112530,3681
ssl_proxy,4,pthreadadapt,19551,8282111
ssl_proxy,1,mcs_stp,37095,797695
upscaledb,1,partitioned,169106,74
kyotocabinet,1,partitioned,353121,71
upscaledb,1,pthreadadapt,85158,1690
memcached-new,2,alock-ls,310506,3187
ssl_proxy,4,partitioned,39769,3469311
upscaledb,6,backoff,144685,5067
memcached-new,1,mcs-timepub,241762,3511
ssl_proxy,4,mcs_stp,4768,67371007
upscaledb,6,c-tkt-tkt,171874,4267
memcached-new,1,mcs_spin,252555,3559
upscaledb,8,malth_stp,180051,254
ssl_proxy,1,hmcs,36484,809983
memcached-new,1,ttas-ls,256158,3453
mysqld,2,mcs-timepub,723,52237
ssl_proxy,8,clh-ls,26122,16777215
upscaledb,2,c-tkt-tkt,197579,1491
ssl_proxy,4,clh-ls,38269,3520511
ssl_proxy,2,mcs_stp,5048,23609343
sqlite,2,mcs_stp,1879,674303
upscaledb,4,ttas,77461,4927
memcached-new,4,malth_stp,247486,31295
upscaledb,6,c-bo-mcs_spin,181783,59
kyotocabinet,2,clh_spin,314566,154
kyotocabinet,8,backoff,224264,1424
mysqld,6,malth_stp,1077,34372
memcached-new,2,mcs-ls,311199,3175
memcached-new,1,ahmcs,256276,3439
upscaledb,4,alock-ls,185274,209
ssl_proxy,8,mcs-ls,25576,21413887
ssl_proxy,2,clh-ls,41534,1591295
memcached-old,2,mcs_spin,74380,3449
kyotocabinet,4,alock-ls,276065,340
sqlite,4,mcs_stp,1969,749055
mysqld,2,pthreadadapt,978,15754
kyotocabinet,8,ttas-ls,74985,4187
kyotocabinet,8,c-bo-mcs_spin,331263,79
memcached-old,6,malth_spin,40369,14879
ssl_proxy,6,c-bo-mcs_spin,30484,14295039
sqlite,8,pthread,2702,694783
sqlite,8,malth_stp,11657,220543
ssl_proxy,2,mcs-ls,40930,1502207
memcached-old,4,spinlock,39963,8623
memcached-old,6,c-bo-mcs_spin,76654,13119
upscaledb,6,c-ptl-tkt,171128,4287
ssl_proxy,4,ticket,11620,10444799
upscaledb,6,c-bo-mcs_stp,98429,367
ssl_proxy,8,c-bo-mcs_stp,3814,93388799
kyotocabinet,1,hticket-ls,373868,128
memcached-old,7,spinlock-ls,22083,31471
memcached-old,6,malth_spin,37391,15879
memcached-old,4,mcs-timepub,41562,5975
mysqld,6,pthread,985,22323
kyotocabinet,6,clh_spin,268513,535
memcached-old,7,backoff,18726,31823
ssl_proxy,2,alock-ls,43947,1388543
memcached-old,1,malth_spin,117426,1667
memcached-new,2,spinlock-ls,181393,11991
memcached-new,6,mcs-timepub,282824,4255
kyotocabinet,4,hticket-ls,326408,2393
kyotocabinet,6,hticket-ls,297046,2783
memcached-new,6,ttas-ls,169302,7619
sqlite,4,mutexee,4222,342527
upscaledb,6,mcs-timepub,139987,451
memcached-new,2,spinlock,165989,16719
mysqld,8,malth_stp,1027,43015
kyotocabinet,6,mcs-timepub,237777,596
ssl_proxy,8,hticket-ls,29073,19152895
mysqld,6,mcs_stp,936,18494
memcached-new,6,ttas,99181,54367
upscaledb,8,mcs-ls,158834,486
memcached-old,6,pthread,22122,11871
kyotocabinet,1,spinlock,265396,149
upscaledb,4,mcs-ls,177271,218
kyotocabinet,4,clh-ls,267836,349
kyotocabinet,1,ttas-ls,285879,128
upscaledb,1,hticket-ls,168271,73
kyotocabinet,4,backoff,314517,344
kyotocabinet,4,mutexee,132680,1441
kyotocabinet,1,ttas-ls,279469,133
memcached-old,1,ahmcs,133984,1530
memcached-new,6,spinlock-ls,38061,41407
memcached-new,4,pthreadadapt,123782,9975
memcached-new,2,spinlock,158408,8087
ssl_proxy,2,c-bo-mcs_spin,36638,2469887
upscaledb,1,clh-ls,164189,75
kyotocabinet,1,mcs-timepub,327915,76
kyotocabinet,4,partitioned,276403,340
upscaledb,8,pthread,56397,4887
memcached-old,6,ahmcs,30065,24559
sqlite,2,pthreadadapt,6163,218495
memcached-old,7,spinlock,18967,31439
memcached-new,4,malth_stp,249949,30863
ssl_proxy,8,c-bo-mcs_spin,27591,23314431
upscaledb,2,c-bo-mcs_stp,184623,37
kyotocabinet,1,mcs_stp,79492,272
upscaledb,6,c-bo-mcs_spin,182711,59
ssl_proxy,1,clh_spin,36315,825343
memcached-new,4,ticket-ls,249146,4731
memcached-new,6,hmcs,310330,3245
upscaledb,2,spinlock-ls,130905,620
memcached-new,2,c-bo-mcs_spin,198956,12175
upscaledb,1,mcs_spin,166613,76
kyotocabinet,4,spinlock,78552,2615
kyotocabinet,2,c-bo-mcs_spin,392552,19
memcached-new,2,hmcs,324887,3015
memcached-new,2,spinlock,154290,13239
sqlite,8,mcs_stp,1717,970239
memcached-new,1,pthreadadapt,259339,3485
upscaledb,2,partitioned,177891,120
memcached-old,2,spinlock-ls,96624,1863
upscaledb,1,ttas,146802,247
memcached-old,6,c-bo-mcs_spin,68873,14039
memcached-new,4,ttas,99844,13783
upscaledb,6,partitioned,156984,371
ssl_proxy,6,mcs-timepub,28655,6602751
ssl_proxy,4,backoff,40179,6463487
kyotocabinet,4,mutexee,109042,1629
kyotocabinet,1,backoff,379250,36
sqlite,8,mcs_stp,1615,1044479
ssl_proxy,1,c-ptl-tkt,36819,794111
upscaledb,6,c-bo-mcs_stp,98392,433
memcached-new,4,backoff,248602,19567
ssl_proxy,6,backoff,34837,9699327
kyotocabinet,6,malth_spin,236630,163
ssl_proxy,1,alock-ls,37473,806911
memcached-old,2,c-tkt-tkt,102395,2299
kyotocabinet,1,c-bo-mcs_spin,403777,19
ssl_proxy,1,malth_stp,34945,836607
memcached-new,2,c-tkt-tkt,345043,2801
kyotocabinet,8,ahmcs,295692,2273
kyotocabinet,4,pthread,115931,1487
memcached-old,4,ahmcs,36890,6119
upscaledb,4,ticket,106558,335
upscaledb,4,ticket-ls,154917,249
memcached-new,6,malth_spin,241860,40127
memcached-new,2,mcs_spin,304310,3287
memcached-new,2,malth_stp,245521,8863
memcached-new,2,ttas,221319,5607
memcached-old,4,ttas,45215,4523
kyotocabinet,8,mutexee,65686,5659
kyotocabinet,1,clh_spin,334780,73
sqlite,1,pthreadadapt,7624,168319
memcached-old,2,pthreadadapt,67450,2683
upscaledb,2,mutexee,85291,3875
kyotocabinet,4,ticket-ls,236270,391
kyotocabinet,2,clh_stp,76410,566
kyotocabinet,6,mcs_spin,278406,524
memcached-old,1,malth_spin,117263,1517
mysqld,2,pthreadadapt,988,16330
memcached-new,1,pthread,190788,4159
kyotocabinet,8,mcs_stp,56308,3005
memcached-old,1,backoff,182020,1307
upscaledb,2,ttas,121767,906
memcached-old,1,mcs-ls,119169,1596
ssl_proxy,1,alock-ls,37462,820223
memcached-new,2,ahmcs,336053,2955
upscaledb,4,clh-ls,180992,211
ssl_proxy,4,clh-ls,38504,4775935
memcached-old,6,mcs-timepub,25411,15831
memcached-old,6,mutexee,19395,16943
memcached-old,4,alock-ls,55125,7371
kyotocabinet,4,ttas-ls,119386,1403
kyotocabinet,8,ttas,45513,19663
ssl_proxy,8,alock-ls,26543,19496959
memcached-old,1,ttas,183942,1261
ssl_proxy,6,ttas,4650,88014847
upscaledb,4,clh_spin,184304,210
ssl_proxy,6,c-bo-mcs_stp,7540,77070335
ssl_proxy,4,c-bo-mcs_stp,27083,11575295
kyotocabinet,4,pthreadadapt,150794,2097
sqlite,2,c-bo-mcs_stp,11325,133247
ssl_proxy,8,c-bo-mcs_stp,4368,88735743
memcached-old,4,c-bo-mcs_stp,98515,2189
ssl_proxy,2,clh-ls,41558,1437695
ssl_proxy,2,malth_stp,28605,3518463
ssl_proxy,8,partitioned,23053,24887295
upscaledb,2,mcs-ls,173177,123
kyotocabinet,2,mutexee,223984,707
memcached-new,4,spinlock,58711,37119
upscaledb,1,malth_spin,172673,195
upscaledb,6,c-bo-mcs_spin,179423,61
memcached-old,4,ticket,42739,6511
upscaledb,6,hticket-ls,171456,5439
kyotocabinet,4,mcs_stp,75186,1139
ssl_proxy,6,mcs_stp,4470,89784319
memcached-new,1,mcs-timepub,245624,3593
upscaledb,8,mcs_stp,53159,1311
kyotocabinet,8,ticket,105355,1631
ssl_proxy,4,malth_stp,26010,11460607
memcached-old,6,alock-ls,39732,17647
ssl_proxy,2,ttas,24425,7159807
memcached-old,7,mcs_spin,16435,33759
memcached-new,4,mcs-timepub,315862,3097
memcached-old,1,mutexee,125527,1740
memcached-old,6,mcs_spin,25367,17487
memcached-new,6,backoff,244297,23919
kyotocabinet,4,ahmcs,341333,1734
kyotocabinet,2,mcs-timepub,307631,157
ssl_proxy,8,pthreadadapt,11770,52199423
upscaledb,8,mcs-ls,157422,497
memcached-new,2,spinlock-ls,188258,14415
memcached-new,2,c-tkt-tkt,330968,2939
kyotocabinet,6,pthread,85709,3063
ssl_proxy,1,hmcs,36903,836607
upscaledb,6,mcs_stp,50062,1030
memcached-new,6,ahmcs,329146,3001
sqlite,4,mcs-timepub,10881,205567
memcached-old,2,malth_stp,87610,4579
mysqld,6,pthread,978,15601
memcached-new,6,mcs_spin,308725,3171
ssl_proxy,1,c-bo-mcs_stp,35664,880127
ssl_proxy,8,mcs-ls,25482,14090239
kyotocabinet,6,clh_spin,268203,535
memcached-old,2,mcs-timepub,73744,4659
memcached-new,6,ticket-ls,194322,7607
ssl_proxy,8,backoff,30439,16760831
ssl_proxy,2,malth_spin,34531,2079743
upscaledb,1,ticket-ls,162569,79
ssl_proxy,6,ticket,9600,47513599
sqlite,8,mutexee,2618,688127
memcached-new,2,backoff,239708,10167
upscaledb,2,pthreadadapt,107036,2457
memcached-old,2,ahmcs,92279,5363
memcached-old,6,ttas,28291,16607
memcached-new,6,malth_spin,269015,41215
upscaledb,6,ahmcs,180563,4035
ssl_proxy,2,hmcs,45554,1333247
memcached-new,1,ttas-ls,267311,3459
upscaledb,2,partitioned,179770,120
ssl_proxy,4,mcs_stp,4891,65601535
upscaledb,1,c-bo-mcs_stp,136309,33
memcached-old,1,spinlock-ls,184618,1275
kyotocabinet,1,mcs_spin,349820,72
kyotocabinet,8,malth_spin,213471,154
kyotocabinet,6,mcs_spin,280973,519
kyotocabinet,4,pthreadadapt,152326,2069
kyotocabinet,4,ttas-ls,128166,1155
kyotocabinet,4,mutexee,118396,1541
memcached-old,2,ticket,82093,3495
ssl_proxy,6,c-tkt-tkt,32791,8986623
memcached-old,4,mcs-ls,53378,7395
upscaledb,1,ahmcs,153878,921
kyotocabinet,2,ttas,160391,1199
